board_hash,value
('55062805023022945912.06.01', 2),0.0
('5656237407566153342.06.01', 2),0.0
('5656237407566153343.05.01', 0),0.0
('67866346191482781901.07.01', 2),0.0
('5656237407566153342.06.01', 0),0.0
('67866346191482781902.06.01', 2),0.0
('-14380748106921003933.05.01', 0),0.0
('51346995657003601131.07.01', 2),0.0
('-43508598122697165093.05.01', 0),0.0
('-73930370481630757332.06.01', 0),0.0
('67866346191482781901.07.01', 0),0.0
('12276402925015041531.07.01', 2),0.0
('4875248330055662423.05.01', 2),0.0
('32088114065085307182.06.01', 0),0.0
('-1093251340414637351.07.01', 0),0.0
('44430575519807662721.07.01', 2),0.0
('-57074727262126915973.05.01', 4),0.0
('50056798536678283692.06.01', 2),0.0
('-41445460065892409831.07.01', 0),0.0
('-42132490760598427971.07.01', 0),0.0
('276371906437730465261', 2),0.0
('-31746434021212006684.04.01', 4),0.0
('67866346191482781903.05.01', 0),0.0
('12276402925015041532.06.01', 0),0.0
('2763719064377304651.07.01', 2),0.0
('5656237407566153342.06.01', 4),0.0
('12276402925015041531.07.01', 0),0.0
('2763719064377304651.07.01', 0),0.0
('25307390223116729563.05.01', 4),0.0
('89059657806597198061.07.01', 4),0.0
('-13083436328537364641.07.01', 2),0.0
('-36194972149494699451.07.01', 0),0.0
('276371906437730465261', 0),0.0
('67866346191482781901.07.01', 4),0.0
('50158453538689722662.06.0-1', 1),0.9499999999999998
('-22165782455012710132.06.0-1', 4),0.9024966991997115
('-7595614336407206243.05.0-1', 4),0.5473179472798416
('-43433083859887944341.07.0-1', 2),0.7841740189506136
('27637190643773046553-1', 0),0.0018802876781249993
('-49128263728533979742.06.0-1', 1),0.9499999999999998
('17147504237118092862.06.0-1', 4),0.9024999932633091
('18861267936015680972.06.0-1', 4),0.8573749026306818
('-90830662052216800772.06.0-1', 2),0.8145055267790261
('12276402925015041531.07.0-1', 0),0.7737772597662135
('2763719064377304651.07.0-1', 0),0.7187238963284414
('-43508598122697165093.05.0-1', 1),0.0
('-73930370481630757332.06.0-1', 4),0.0
('67866346191482781901.07.0-1', 4),1.7805363292903406e-05
('12276402925015041532.06.0-1', 2),0.07295808318195632
('-7595614336407206242.06.0-1', 4),0.8532515754720194
('2763719064377304654.04.0-1', 0),0.2704886474983095
('66372659235157215834.04.0-1', 1),0.814175842412337
('-79935348256236060734.04.0-1', 4),0.47997737595269435
('55062805023022945914.04.0-1', 4),0.47465018783776824
('18861267936015680974.04.0-1', 2),0.3492011730966829
('-90830662052216800772.06.0-1', 0),0.5516896463896834
('2763719064377304651.07.0-1', 2),0.6006137153748893
('-80130595305937731212.06.0-1', 1),0.285
('32088114065085307182.06.0-1', 4),0.587745219036825
('-1093251340414637352.06.0-1', 4),0.5783873989938171
('12276402925015041531.07.0-1', 2),0.18007767844068673
('-49128263728533979743.05.0-1', 4),0.36905763103813366
('18861267936015680972.06.0-1', 2),0.6363846667856242
