board_hash,value
-74057803269321293605311,0.4791082625
57152151809939474471.07.011,0.45596061875
-26329796270432764391.07.011,0.45365
-65725016638914821351.07.011,0.35
-35001579287143359782.06.011,0
-65725016638914821352.06.011,0.35
-74057803269321293601.07.011,0.46899956009375
-92068079814684934751.07.0-1-1,2.2361909276198855e-06
45517656299331803712.06.0-1-1,6.098802438179187e-11
-42228415501990875203.05.0-1-1,0
45517656299331803713.05.0-1-1,1.8737746833954238e-05
-92068079814684934752.06.0-1-1,0.005724853810861663
-26329796270432764391.07.0-1-1,0.012084949477293522
-740578032693212936053-1-1,0.734072493903843
60742573472359342942.06.0-1-1,0.8868412779197995
-69612512988476977821.07.0-1-1,0.7132177489719079
-3766758306329981162.06.0-1-1,0.8432196909345328
77152072537157166014.04.0-1-1,0.63851767242425
-65417944821383930957.01.0-1-1,0
77152072537157166017.01.0-1-1,0.245
-3766758306329981164.04.0-1-1,0.31643529206347015
-69612512988476977822.06.0-1-1,0.7598174689660271
60742573472359342941.07.0-1-1,0.7924319742059371
-74057803269321293602.06.0-1-1,0.7734906837626895
57152151809939474471.07.0-1-1,0.7733443246064585
-37628953588608480961.07.0-1-1,0.8142324592377526
-9076468457787844372.06.0-1-1,0.8573720704139489
33619750113016031452.06.0-1-1,0.902499750673877
-46316152603575698282.06.0-1-1,0.9499999999999998
-31886913615318912852.06.0-1-1,1
-37628953588608480962.06.0-1-1,0.8142915992721037
-74057803269321293601.07.0-1-1,0.7342371973437082
17571041379636997892.06.0-1-1,0.9499999957518014
25746591437620216412.06.0-1-1,1
-70397306302969185752.06.0-1-1,1
52022122619768039392.06.0-1-1,0.9171465623328848
89509188679489698111.07.0-1-1,0.8572420363279889
-76276704322701040381.07.0-1-1,0.8951368330835429
-11747511412057815491.07.0-1-1,0.9468819264841641
-21502535519960472571.07.0-1-1,1
-55373012876125092134.04.0-1-1,0.3481301548149504
-14535137101647029764.04.0-1-1,1
-46316152603575698284.04.0-1-1,0.7168509723545011
-55373012876125092133.05.0-1-1,5.114158802330292e-56
-81304167583655883584.04.0-1-1,0
-46316152603575698283.05.0-1-1,0.1610757720405099
-30988293130280572291.07.0-1-1,0.8046881180482229
-56294162832735491721.07.0-1-1,0.8571431527593759
36495283171179271771.07.0-1-1,0.9024607667183737
35852608811323589261.07.0-1-1,1
-9076468457787844373.05.0-1-1,0.5252918566809842
-37628953588608480963.05.0-1-1,0.8054402874174248
89540918641829983054.04.0-1-1,0.8802956970386797
77936258634896839026.02.0-1-1,0
89540918641829983056.02.0-1-1,0.0023737807549715005
33619750113016031454.04.0-1-1,0.8504442561006071
-14218017736392917463.05.0-1-1,0.21972990777809476
74531853832618529542.06.0-1-1,1
-14218017736392917462.06.0-1-1,0.7720966634599437
71044126926472006833.05.0-1-1,0.7206847343280014
71044126926472006831.07.0-1-1,0.701737439751159
-74057803269321293603.05.0-1-1,0.7026926339911066
51509556442186232073.05.0-1-1,1.3377452576169399e-05
84907256458687126692.06.0-1-1,1.3318652440829535e-17
