board_hash,value
-7.40578E+22,0.938153882
57152151809939474473.05.011,0.970171768
27017779496104407305.03.011,0.786600999
-28645637218601308163.05.011,0.248224478
-8998811950410383236.02.011,0.492671149
-11230808208726263538.00.011,0.3599
5469782764573121840.08.011,0.5
-83340199411943276988.00.011,0.674994384
11132952632030912370.08.011,0.755621674
-42909947441730600398.00.011,0.5
11132952632030912378.00.011,0.768550321
-83340199411943276980.08.011,0.584755437
5469782764573121848.00.011,0.509482618
-11230808208726263530.08.011,0.395355835
-8998811950410383238.00.011,0.449205706
-28645637218601308166.02.011,0.44486958
27017779496104407303.05.011,0.798456562
57152151809939474475.03.011,0.80877371
-74057803269321293603.05.011,0.759920898
57152151809939474470.08.011,0.394196756
27017779496104407308.00.011,0.479861222
-28645637218601308160.08.011,0.495025595
55491522839541537030.08.011,0.5
81845213207324593868.00.011,0.5135
35802004995100749800.08.011,0.608
-88876153989949018948.00.011,0.44633765
-11156847976554375070.08.011,0.5
-88876153989949018940.08.011,0.425461968
35802004995100749808.00.011,0.629167588
81845213207324593860.08.011,0.536134899
55491522839541537038.00.011,0.481356456
-8998811950410383230.08.011,0.506457377
-28645637218601308168.00.011,0.445069444
27017779496104407300.08.011,0.454085229
57152151809939474478.00.011,0.267561677
-74057803269321293600.08.011,0.253067323
57152151809939474471.07.011,0.567444442
27017779496104407307.01.011,0.511200434
-28645637218601308161.07.011,0.445617289
-8998811950410383233.05.011,0.473124964
-11230808208726263536.02.011,0.5
5469782764573121842.06.011,0.5
-83340199411943276986.02.011,0.5
11132952632030912372.06.011,0.5
-42909947441730600396.02.011,0.5
11132952632030912376.02.011,0.4810025
-83340199411943276982.06.011,0.47383655
5469782764573121846.02.011,0.489753313
-11230808208726263532.06.011,0.34041412
27017779496104407301.07.011,0.717180538
57152151809939474477.01.011,0.399988439
-74057803269321293601.07.011,0.371628659
-8998811950410383235.03.011,0.465618668
55491522839541537033.05.011,0.5580095
7215243454449808156.02.011,0.755
9578882504841513352.06.011,1
7215243454449808152.06.011,0.7295
35802004995100749806.02.011,0.530975
-28645637218601308165.03.011,0.244813474
39618421868440341192.06.011,0.5
-69975165985491870016.02.011,0.541531175
-70606334032650035972.06.011,0.5
-11156847976554375078.00.011,0.5
-70606334032650035978.00.011,0.483575
-69975165985491870012.06.011,0.495277625
39618421868440341196.02.011,0.489753313
55491522839541537032.06.011,0.494033661
-86403330948303298675.03.0-1-1,0.49836849
-5457971156839886423.05.0-1-1,0.5
-38461406699238315526.02.0-1-1,0.65
65059031671016230382.06.0-1-1,1
-38461406699238315522.06.0-1-1,0.635
-5457971156839886426.02.0-1-1,0.511435813
-86403330948303298673.05.0-1-1,0.490230353
-8998811950410383235.03.0-1-1,0.623452095
-7.40578E+20,0.654314189
57152151809939474473.05.0-1-1,0.560447165
27017779496104407305.03.0-1-1,0.788997536
-28645637218601308163.05.0-1-1,0.547079681
-8998811950410383237.01.0-1-1,0.493454793
55491522839541537030.08.0-1-1,0.449895393
81845213207324593868.00.0-1-1,0.46941985
35802004995100749800.08.0-1-1,0.482126714
-88876153989949018948.00.0-1-1,0.481047308
-11156847976554375070.08.0-1-1,0.5
-88876153989949018940.08.0-1-1,0.474546379
35802004995100749808.00.0-1-1,0.494736952
81845213207324593860.08.0-1-1,0.44382994
55491522839541537038.00.0-1-1,0.421050234
-8998811950410383230.08.0-1-1,0.487106205
-28645637218601308167.01.0-1-1,0.468121944
27017779496104407303.05.0-1-1,0.65225587
57152151809939474475.03.0-1-1,0.248589319
-74057803269321293603.05.0-1-1,0.287018243
-58456575657913040036.02.0-1-1,0.493750347
34796389511113330452.06.0-1-1,0.497674029
-42565445499510154146.02.0-1-1,0.500852389
-53687066006892407962.06.0-1-1,0.50006552
-62037021752712244600.08.0-1-1,0.553849513
57161552903355052468.00.0-1-1,0.55145
-67678930734552561302.06.0-1-1,1
57161552903355052462.06.0-1-1,0.5889635
-62037021752712244608.00.0-1-1,0.481839928
-53687066006892407960.08.0-1-1,0.485677606
-42565445499510154142.06.0-1-1,0.443564036
34796389511113330456.02.0-1-1,0.434183097
-58456575657913040032.06.0-1-1,0.376651772
-74057803269321293606.02.0-1-1,0.368715622
-28645637218601308161.07.0-1-1,0.489586621
55491522839541537031.07.0-1-1,0.561776703
-90771793268408529307.01.0-1-1,0.500529646
-38461406699238315521.07.0-1-1,0.5
-22556411929501291207.01.0-1-1,0.6122
42542556811002486181.07.0-1-1,1
-22556411929501291201.07.0-1-1,0.612455
-38461406699238315527.01.0-1-1,0.530975
-90771793268408529301.07.0-1-1,0.52950714
55491522839541537037.01.0-1-1,0.540216037
-8998811950410383231.07.0-1-1,0.49168173
27017779496104407301.07.0-1-1,0.532386188
-58456575657913040038.00.0-1-1,0.209835718
88536195019538407532.06.0-1-1,0.5
20451457651643486866.02.0-1-1,0.5
-15552861214079569962.06.0-1-1,0.5
22235904276456414227.01.0-1-1,0.5
59766038913939919901.07.0-1-1,0.5
-71866766435546080752.06.0-1-1,0.5
7922211615337418247.01.0-1-1,0.65
79192756147225976211.07.0-1-1,1
7922211615337418241.07.0-1-1,0.635
-71866766435546080757.01.0-1-1,0.530975
59766038913939919902.06.0-1-1,0.501327875
22235904276456414221.07.0-1-1,0.492878444
-15552861214079569967.01.0-1-1,0.482353596
20451457651643486862.06.0-1-1,0.489784052
88536195019538407536.02.0-1-1,0.489588455
-74057803269321293608.00.0-1-1,0.087339477
55491522839541537033.05.0-1-1,0.927851365
-90771793268408529305.03.0-1-1,0.755
-23619639785450962193.05.0-1-1,1
-90771793268408529303.05.0-1-1,0.7295
55491522839541537035.03.0-1-1,0.758076775
-8998811950410383233.05.0-1-1,0.535833561
-28645637218601308165.03.0-1-1,0.55843579
90751331815434887904.04.0-1-1,0.612161
-75076538175356414574.04.0-1-1,1
-8998811950410383234.04.0-1-1,0.593339532
-8998811950410383238.00.0-1-1,0.454018181
-90771793268408529308.00.0-1-1,0.65
