board_hash,value
354411,0.05804471291009712
253.05.011,0.9392739566621645
353.05.01-1,0.033834868799691754
453.05.01-1,0.01777096460460386
351.07.011,0.02516389444334518
454.04.01-1,0.022855784508658196
555.03.01-1,0
455.03.01-1,0.0172166843142147
354.04.01-1,0.07241122657731339
451.07.011,0.03339880664674238
253.05.01-1,0.5988423715710771
353.05.011,0.8999639199735433
553.05.01-1,0
355.03.01-1,0.06464700871523893
352.06.011,0.042635286169871195
353.05.0-11,0.24464882889770667
252.06.0-11,0.002507379453834078
355.03.0-1-1,0.018567283959287424
354.04.0-1-1,0.013772172889075649
353.05.0-1-1,0.00449982375707506
253.05.0-11,0.9499999999999998
454.04.0-1-1,0.0037290106597832806
351.07.0-11,0.0005674455974819608
452.06.0-1-1,0.0027582772732590985
453.05.0-1-1,0.1423888684358354
352.06.0-11,0.008247783062584682
452.06.01-1,0.041779483769652286
352.06.01-1,0.048896918852785284
452.06.0-11,0.05451411662021298
352.06.0-1-1,0.005383005878988155
451.07.0-11,0.005326434709361471
253.05.0-1-1,0.0083211666539296
254.04.0-1-1,0.009310290151448596
453.05.0-11,0.008224649876961367
255.03.0-1-1,0.006056935735416434
452.06.011,0.07641874557447229
255.03.01-1,0.799999661837474
456.02.01-1,0.031960938027739756
153.05.0-11,1
453.05.011,0.6684958482886421
356.02.01-1,0.06512400931342076
3544-11,0.014472360450897018
455.03.0-1-1,0.0019573159673183277
354.04.0-11,0.008368098046687582
553.05.0-1-1,0
454.04.0-11,0.029004070695416773
252.06.011,0.06325038679206055
256.02.01-1,0.19972685875630294
554.04.0-1-1,0
554.04.01-1,0
253511,0.0680012463398504
353511,0.6051316356397357
457.01.01-1,0.0202230494305335
357.01.01-1,0.0567163948188709
456.02.0-1-1,0.0021295290482395072
356.02.0-1-1,0.009953376311235662
552.06.01-1,0
458.00.01-1,0.09987290568880908
350.08.011,0.024791846390979803
450.08.011,0.07237633356183829
358.00.01-1,0.12379246991235862
356.02.011,0.1808261612869174
456.02.011,0.18617159317845172
2544-11,0.946161881013212
557.01.0-1-1,0
457.01.0-1-1,0.0016013576353208281
556.02.0-1-1,0
555.03.0-1-1,0
45621-1,0.017951186685583546
35621-1,0.03201443443561084
256.02.0-1-1,0.019138362201243278
354.04.011,0.871123146463623
454.04.011,0.7632526431075174
254.04.01-1,0.8413937742903058
45531-1,0.029058045489854196
35531-1,0.08814313504279817
254.04.011,0.9437445342160575
153.05.011,1
45711-1,0.008204009454386922
558.00.01-1,0
35711-1,0.04939764774110225
355.03.011,0.8678926005120109
455.03.011,0.7764501570316193
255.03.0-11,0.9406444001599249
355.03.0-11,0.014360687710742165
357.01.0-1-1,0.012826336822702254
154.04.0-11,1
254.04.0-11,0.9027206110120777
556.02.01-1,0
251.07.0-11,0.016774317144668975
257.01.0-1-1,0.03465187777875216
557.01.01-1,0
356.02.0-11,0.10025244047335669
456.02.0-11,0.04991180599694677
455.03.0-11,0.014826465426959676
255.03.011,0.912940565
558.00.0-1-1,0
458.00.0-1-1,0.17348260278223746
357.01.011,0.4925
257.01.0-11,0.635
155.03.0-11,1
357.01.0-11,0.06875318261821806
457.01.011,0.4963140184711268
457.01.0-11,0.03799950423521748
256.02.0-11,0.8743685
152.06.0-11,1
358.00.0-1-1,0.33961334647968655
250.08.0-11,0.25209889738766256
350.08.0-11,0.14244893350847457
258.00.0-1-1,0.4579146039000733
251.07.011,0.4072104292593688
257.01.01-1,0.41620387598923764
154.04.011,1
450.08.0-11,0.2639631319364505
358.00.0-11,0.45104627143903614
458.00.0-11,0.39059794604991527
