board_hash,value
-522758095211981785811,0.10732058288191615
-45064451713283117411-1,0.13421739250136433
82218420708616953641-1,0.1677721238359886
-893440092003232739911,0.19635437975093928
-4374122671028950411-1,0.25146622881382724
-57795792747156209531-1,0.3190577143240337
31899145890385575491-1,0.40403678124645465
8340930568042197618-11,0.3336
4515140288327582891-11,0.30773785600000003
-8992262611001494170-11,0
3189914589038557549-11,0.3054358657036452
-89344009200323273991-1,0.1982818187291743
822184207086169536411,0.13336729083741417
-52275809521198178581-1,0.1073419153269447
-5227580952119817858-11,0.09562863463506813
-630178052060326250011,0.1350723167331933
66684539075228361541-1,0.166213406751433
-5090512829073757331-1,0.20843098001632998
9125926671298837150-11,0.46
-85290517452731158161-1,0.326873993717224
67355917741319095441-1,0.3452212303663249
619047695778346333911,0.18
268261328791109605511,0
673559177413190954411,0.35760000000000003
91259266712988371501-1,0.42493824
-509051282907375733-11,0.29373680578656636
-63017805206032625001-1,0.13243647559262686
-450644517132831174111,0.10429622146851246
-170334886544803425411,0.15754787428699196
-35073881597030319541-1,0.20762427803595163
-14725282764176614681-1,0.260979511932212
48807659483268983451-1,0.327161097729435
-27748607776115141631-1,0.40942631488871384
-3997350241488511270-11,0.4020477579264
23688662181180001221-1,0.507347619702102
729574182101050198711,0.4428608
-91458378678366453111-1,0.7495769600000001
2297693661413035072-11,0.4744
9143252366797209840-11,0.62
83227477889522934951-1,1
91432523667972098401-1,0.62
-9145837867836645311-11,0.451808
72957418210105019871-1,0.43423558082560004
236886621811800012211,0.4270973705274209
-39973502414885112701-1,0.39053209861546934
-2774860777611514163-11,0.35565894568954526
-17033488654480342541-1,0.16016264926880264
40077993045110760811,0.17974907559603528
-85880778376429431301-1,0.22253824209603668
45199563090535807001-1,0.2682104271541247
88538705756787872291-1,0.3267809123474614
-58517950116067978121-1,0.40907347220037016
62357026995082147831-1,0.5116185055865393
-744404970480953736-11,0.3750878770445032
71195985272453731651-1,0.632419746038193
847128916970625684011,0.5377730159766756
-72560536442188344501-1,0.6320543514053882
-52126330109756987821-1,1
84712891697062568401-1,0.5229073283377326
711959852724537316511,0.5890776293934759
-7444049704809537361-1,0.4755129847265325
6235702699508214783-11,0.5118291799320371
4007799304511076081-1,0.1795986504342334
10271507102843494011,0.3019527819136246
-10954373959473066891-1,0.28867249695096686
-343326433210219122111,0.46
-51235761307051021681-1,0.46
-30527571138510873911,0.46
78484926728189686251-1,0.49744000000000005
-24971244005209967561-1,0.6920000000000001
48427117007595226331-1,1
-3052757113851087391-1,0.45918080000000006
-512357613070510216811,0.446937856
-34332643321021912211-1,0.44302011392
-109543739594730668911,0.31244871768941
1027150710284349401-1,0.24849912137617283
-147252827641766146811,0.22503288109739802
228308959735210103911,0.10580250413833064
-58831432303854081421-1,0.13251421511226075
-11798126848158891521-1,0.16421470771486646
-56454710420130083881-1,0.20196039418877043
-5626226414769966826-11,0.223442244013481
4790445014142293052-11,0
-5645471042013008388-11,0.26588632464500955
22830895973521010391-1,0.10576489960727359
79295762193999480031-1,0.20971519700598815
-83677733688315313711,0.2031224578181752
-19273047711007126311-1,0.25615021786435743
79915285646459649311-1,0.321157337236302
7270392749271296353-11,0.4119802368
4763855063812388861-11,0.46
-48489732216589127801-1,0.3927596748800001
-19127644197719974151-1,0.5517111808
-7209979207549400164-11,0.18
-3066651015125074-11,0
-1912764419771997415-11,0.44466304
47638550638123888611-1,0.42493824
7991528564645964931-11,0.34014557763967257
-8367773368831531371-1,0.20389865249656028
792957621939994800311,0.16617078099635735
1115222621394372815-11,0.12250046642643422
-80095954261475563541-1,0.1316111730598218
84069201784729363551-1,0.16604224333828937
-23495027553765384141-1,0.20845054917000905
44060202492401769671-1,0.2611620207047233
-32742633041250252271-1,0.3268227621936285
11026766022681523061-1,0.4088298927510104
83616345862749095311,0.4557963335740919
-34720437446779422061-1,0.6395395745091286
-73686989811818206511-1,0.7999998815171745
-725605364421883445011,0.7576116015104001
-736869898118182065111,0.7729119634875562
8361634586274909531-1,0.5073420796347171
623570269950821478311,0.38781554854823824
11152226213943728151-1,0.11083545482942522
-454878987045455637111,0.1474844594319224
-4154878525584922870-11,0.37741437046920295
36052632008697855151-1,0.20032505208821463
-7609860405030545200-11,0.18
-4369108159659428951-11,0
3605263200869785515-11,0.30923677118284365
-41548785255849228701-1,0.35657389629258524
-4548789870454556371-11,0.12563691573694175
-87359689972042769811-1,0.2621439992707142
73898249422235346011,0.25853518241703627
-18306411833479856111-1,0.32755990090747045
60103979391629534651-1,0.4095938719829834
-33394615588666079771-1,0.5119994103347665
-63781335998680768341-1,0.6399999999999999
-490856424596965895811,0.5386281109049138
-41428424595650170361-1,0.7978746038675821
-5341007523756570205-11,0
-4142842459565017036-11,0.18
-49085642459696589581-1,0.6327713961647363
-637813359986807683411,0.5037294085106163
7389824942223534601-1,0.2597478157092378
-873596899720427698111,0.2077271688714164
-991053533901044404-11,0.122481281594938
73429237263754891961-1,0.12749403881749435
90599718781174930111-1,0.1606369717764979
59494485473987992281-1,0.2032341380005522
78759968111821959931-1,0.2572409715820459
-6759504506537268304-11,0.412452096
-5469078699885671413-11,0.46
-15780672283939445451-1,0.319219402752
79136230227196056291-1,0.32994063360000003
19492495789068009261-1,0.45017451520000007
605675193586855348311,0
194924957890680092611,0.4658700800000001
-54690786998856714131-1,0.42641280000000004
7875996811182195993-11,0.3753825956044158
-9910535339010444041-1,0.1019621655206051
-187356043042166076111,0.23653089339725436
152979865838974190311,0.3779982330078752
-16044262800515792341-1,0.30318830686565473
-38738075390244390871-1,0.3943672387687822
-45903766709710437391-1,0.5002880927647998
637015609635994878-11,0.4617672347648
18868023395906946531-1,0.7999817192077998
-83386577842913306591-1,1
6370156096359948781-1,0.5393701148262401
-4590376670971043739-11,0.10084193279999999
15297986583897419031-1,0.2520433677375568
231913453809271542511,0.19501224854805022
-18735604304216607611-1,0.23440026978052267
-580043129016399561411,0.38738391712071685
-73579915864818717701-1,0.4134714388480001
-767162718677310828511,0.46
26465508476919684131-1,0.46
-382318548079752431211,0.46
-40162740778515627361-1,0.43548800000000004
2044734956812147601-1,0.5960000000000001
189735085176470671311,0.62
-561541842545172881-1,1
18973508517647067131-1,0.62
20447349568121476011,0.61904
-38231854807975243121-1,0.43935616
264655084769196841311,0.4405939712
-76716271867731082851-1,0.440990070784
-735799158648187177011,0.44111682265088004
-58004312901639956141-1,0.397005290380329
23191345380927154251-1,0.19396503004532023
199077487337276310911,0.10725072249493943
605469127578686440311,0.384123843230643
-87491395218691864941-1,0.3611361567998007
-56287084603002913111-1,0.391552272482304
-333463779155760772311,0.46
