board_hash,value
('455.03.01-1', 0),7.712689615699777e-109
('354.04.01-1', 0),0.45358691842626253
('451.07.011', 0),0.03676396007521648
('253.05.0-11', 3),0.9499999999999998
('353.05.011', 0),0.8091212394430009
('353.05.0-11', 0),0.8971129781341511
('254.04.0-1-1', 0),0.8188703227176013
('352.06.0-11', 0),0.06623652188919651
('253.05.0-1-1', 0),8.643344507985457e-05
('454.04.01-1', 0),5e-324
('353.05.01-1', 3),0.02469520089766181
('456.02.01-1', 0),1.0772180184752766e-53
('356.02.01-1', 3),1.1170442921106628e-05
('253.05.01-1', 0),0.4802492879687754
('453.05.01-1', 0),5.207354765191653e-21
('355.03.01-1', 0),0.029323666797071886
('455.03.0-1-1', 3),2.6335327651974476e-19
('354.04.0-1-1', 0),0.006309363310367495
('253.05.0-1-1', 3),0.07093454035181221
('256.02.0-1-1', 0),0.840929704096996
('254.04.0-1-1', 3),0.8571496919072215
('453.05.0-11', 0),0.08709280556033837
('353.05.01-1', 4),0.08489597768099805
('451.07.011', 3),0.016412679585071997
('353.05.01-1', 0),0.04660833561430742
('451.07.011', 4),0.050323874575616954
('352.06.0-11', 4),0.08509514197217541
('255.03.0-1-1', 3),0.8561624675858303
('352.06.011', 0),0.6976257647904225
('456.02.011', 0),0.5509008738978798
('3544-11', 0),0.8955181977499338
('255.03.0-1-1', 4),0.7520589451581129
('352.06.0-11', 3),0.012463098779162185
('353.05.01-1', 2),0.01960095261745533
('35531-1', 3),0.07660900563220278
('253.05.01-1', 2),0.8452955918827343
('254.04.01-1', 3),0.8530604233840269
('452.06.01-1', 3),0.006920643600500001
('352.06.01-1', 0),0.03555422660004373
('452.06.0-11', 2),0.05329182566085855
('352.06.0-1-1', 0),0.006816236599902712
('451.07.0-11', 3),0.00387283239514094
('355.03.0-1-1', 0),0.010257823000199815
('253.05.0-1-1', 4),0.02473167989361382
('354.04.01-1', 3),0.3023929494121749
('353.05.011', 2),0.7412012614110147
('455.03.01-1', 2),0.00019549105242914946
('253.05.01-1', 3),0.8405921345390909
('253.05.0-11', 1),0.9499999999999998
('353.05.0-11', 3),0.8609908495850005
('254.04.0-1-1', 2),0.8563264868776164
('453.05.0-11', 2),0.023529006531768145
('357.01.01-1', 0),0.04171500845298928
('454.04.0-1-1', 1),2.2999326827237008e-05
('353.05.0-1-1', 3),0.05450890337708241
('451.07.0-11', 2),0.007202227076173838
('453.05.0-1-1', 1),3.745241654825934e-08
('352.06.0-1-1', 3),0.00502896150848121
('453.05.011', 3),0.8290276501775098
('354.04.01-1', 1),0.025877880154776406
('352.06.0-11', 2),0.0185178872353358
('455.03.0-11', 3),0.8534879512081138
('356.02.0-1-1', 0),0.045338103117585384
('454.04.01-1', 3),1.6319080614195595e-38
('451.07.011', 1),0.11597050980079902
('253.05.0-1-1', 2),0.024374379191360852
('254.04.0-1-1', 4),0.7243725671665094
('453.05.0-11', 3),0.02754583680512604
('353.05.01-1', 1),0.014056614848553216
