board_hash,value
('55062805023022945912.06.01', 4),0.245
('5656237407566153342.06.01', 4),0.12004999999999999
('35061241083240580503.05.01', 4),0.35
('-23969250533977802972.06.01', 4),0.44975
('18861267936015680972.06.01', 4),0.419825
('5656237407566153343.05.01', 0),0.028824005
('67866346191482781901.07.01', 4),0.44975
('12276402925015041531.07.01', 4),0.2410287745082
('67866346191482781901.07.01', 0),0.031698457865560886
('2763719064377304651.07.01', 4),0.31097026924641435
('5656237407566153342.06.01', 0),0.048877500518389655
('67866346191482781902.06.01', 0),0.1311838406860865
('55062805023022945912.06.01', 0),0.35
('18861267936015680972.06.01', 0),0.44975
('-90830662052216800772.06.01', 4),0.47817875
('24053130381942834021.07.01', 4),0.48628094374999997
('7805217687704061755.03.01', 0),0.35
('-80367763896855458763.05.01', 0),0.44975
('61847751248396637771.07.01', 0),0.47100606875
('276371906437730465171', 4),0.48628094374999997
('12276402925015041531.07.01', 0),0.04130744172781565
('-31848586514134711963.05.01', 0),0.35
('-24406241179437733092.06.01', 0),0.44975
('12276402925015041532.06.01', 0),0.3448570020461081
('2763719064377304651.07.01', 0),0.1544067601799367
('-43508598122697165093.05.01', 0),0.084035
('-73930370481630757332.06.01', 0),0.21404915000000002
('-43508598122697165094.04.01', 0),0.35
('-14380748106921003933.05.01', 3),0.35
('51346995657003601132.06.01', 0),0.44975
('51632316451260050601.07.01', 0),0.47817875
('49070697614415888181.07.01', 0),0.48628094374999997
('276371906437730465351', 0),0.48859006896875
('5656237407566153342.06.01', 3),0.35
('5656237407566153343.05.01', 3),0.35
('67866346191482781901.07.01', 3),0.33545803025
('1230335905536671013.05.01', 0),0.35
('-86251057411900867391.07.01', 3),0.44975
('-42132490760598427971.07.01', 0),0.47817875
('276371906437730465171', 0),0.46995526681249994
('29281504316775041241.07.01', 3),0.4016795416575658
('276371906437730465621', 0),0.4644786693724062
('-73930370481630757333.05.01', 0),0.419825
('12276402925015041531.07.01', 3),0.003254971259781483
('-86943868784613604472.06.01', 0),0.35
('21932792435297104651.07.01', 0),0.44975
('-43433083859887944341.07.01', 3),0.47817875
('44233691432623018463.05.01', 0),0.35
('77742138327372339962.06.01', 0),0.44975
('49070697614415888181.07.01', 3),0.47817875
('-36908302779400520992.06.01', 0),0.35
('10257330033284477452.06.01', 0),0.44975
('45730521064344757632.06.01', 3),0.47817875
('-37296331457702316511.07.01', 0),0.48628094374999997
('2763719064377304653.05.01', 0),0.48859006896875
('12276402925015041532.06.01', 3),0.36747403417941005
('2763719064377304651.07.01', 3),0.07738586014360131
('-43791056205842732143.05.01', 0),0.35
('-54538656093140390801.07.01', 0),0.44975
('16346691529240042281.07.01', 0),0.47817875
('2763719064377304653.05.01', 3),0.48423672959374997
('5656237407566153344.04.01', 0),0.35
('42066349228623685423.05.01', 0),0.35
('81064086799575152662.06.01', 0),0.44975
('-36194972149494699451.07.01', 0),0.47817875
('-31746434021212006684.04.01', 0),0.35
('67866346191482781903.05.01', 0),0.39307887521105866
('43937490205147158544.04.0-1', 2),0.35
('5656237407566153343.05.0-1', 0),0.44975
('66372659235157215834.04.0-1', 2),0.22843856140947977
('-49128263728533979744.04.0-1', 0),0.6213226745250684
('17147504237118092862.06.0-1', 0),0.8916734438094939
('18861267936015680972.06.0-1', 0),0.8296046029970118
('-90830662052216800772.06.0-1', 0),0.687721748147732
('12276402925015041531.07.0-1', 0),0.6244602589645261
('2763719064377304651.07.0-1', 0),0.4793547928482465
('-49128263728533979742.06.0-1', 2),0.9499999999999998
('90171036858207269331.07.0-1', 2),0.9499999999999998
('51632316451260050601.07.0-1', 0),0.9021319254050888
('49070697614415888181.07.0-1', 0),0.8553425918041082
('2763719064377304652.06.0-1', 0),0.7513107068882443
('17451646426496156864.04.0-1', 2),4.75775391190864e-117
('55062805023022945912.06.0-1', 0),7.339512927712125e-11
('18861267936015680973.05.0-1', 0),0.0037476075457698434
('-43508598122697165093.05.0-1', 2),1.4316383870944787e-114
('-73930370481630757332.06.0-1', 0),1.981400088130893e-14
('67866346191482781901.07.0-1', 0),3.0327360230204277e-13
('29281504316775041241.07.0-1', 0),2.6661804698583334e-08
('2763719064377304656.02.0-1', 0),3.914647299596187e-06
('24053130381942834021.07.0-1', 0),0.728654531868782
('2763719064377304655.03.0-1', 0),0.7532183185759221
('-23969250533977802972.06.0-1', 2),0.9499999999999998
('10257330033284477452.06.0-1', 0),0.902473622386235
('45730521064344757632.06.0-1', 0),0.8571942816674014
('-37296331457702316511.07.0-1', 0),0.8124332311136196
