board_hash,value
('-195616476996479224111', 0),0.0648
('-49487209408899079801-1', 0),0.2605096422871718
('2211338730512810511', 0),4.515627935467729e-13
('21445834277384327761-1', 0),0.3204135800643033
('-11980765293126118061-1', 0),0.2604276669674753
('-57717585162635991111', 0),0.3
('-7172117937763352801-1', 0),0.4139864576
('-2566458850613346291-1', 0),0.3791155712
('-3064762028247460151-1', 0),0.6920000000000001
('51297123625984650741-1', 1),0.4984
('62420437065692743091-1', 0),0.459488
('-13240894737698773981-1', 0),0.44703616
('-52277431999355607581-1', 0),0.4430515712
('87484129566444328921-1', 2),0.62
('43875517832681821411-1', 0),0.4984
('-46117962263937987261-1', 0),0.459488
('11342869616140250131-1', 0),0.44703616
('10001812671065258911', 3),0.4430515712
('12106183047527578681-1', 0),0.40627139190784
('-49128859724064395251-1', 1),0.44136848089088
('51915469251752952761-1', 0),0.4023449388624118
('725742655266061692411', 0),0.44119613244322614
('425578519579426146411', 0),0.4058924198109318
('-39193898093468267941-1', 0),0.62
('58435138485871202881-1', 1),0.4984
('-16836399052423250251-1', 2),0.459488
('23595994648635344341-1', 0),0.44703616
('66093891491573235991-1', 0),0.4430515712
('26425049721652247661-1', 0),0.441776502784
('-5321773612697571293-11', 3),0.44136848089088
('-5208521003063773297-11', 0),0.36499345392538224
('677107072564335731711', 1),0.1586404972476021
('73848151566726335371-1', 0),0.16777063253752245
('5135660816578315021-1', 0),0.13421437743517803
('37464782756670354961-1', 0),0.10257196306759593
('859752308828322121911', 0),0.3
('-90027963812822161381-1', 1),0.396
('17591613622062077321-1', 2),0.42672
('-43452882986018741951-1', 0),0.4365504
('-1023082878142909683-11', 0),0.439696128
('4130147895942467116-11', 1),0.1847938276353987
('51356608165783150211', 2),0.12899992585876674
('-522758095211981785811', 0),0.0848922483492332
('8569135326549569781-11', 1),9.945169326910367e-08
('-6631748567410467027-11', 0),0.16432493818680408
('43707782807463336931-1', 1),0.2621438091023975
('67710707256433573171-1', 2),0.19992673070019437
('37464782756670354961-1', 1),0.10736771286357233
('-522758095211981785811', 2),0.08303720187953391
('249958664290537410611', 1),0.18
