board_hash,value
276371906437730465531,0.24444716239122438
12276402925015041531.07.01,0.29682139550000003
67866346191482781901.07.01,0.07465417295000001
5656237407566153341.07.01,0.01412376245
69353642569565570212.06.01,0
2928150431677504124621,0.375750725
31281840659764024154.04.01,0.5
-79404453594330589221.07.01,0.32585000000000003
-17172472452468482582.06.01,0.12004999999999999
-52325089153801032133.05.01,0
67866346191482781902.06.01,0.4865
69353642569565570213.05.01,0
-3729633145770231651441,0.5
45730521064344757631.07.01,0.5
10257330033284477452.06.01,0.5
-36908302779400520994.04.01,0.5
-73335289155801716142.06.01,0.35
81486292687907229354.04.01,0
-37296331457702316511.07.01,0.060452218878319475
-70255941184504970831.07.01,0.03037444293141852
61385081760617377092.06.01,2.2999326827237008e-05
25552622265890326022.06.01,0
29281504316775041245.03.01,0.5
31281840659764024151.07.01,0.5
6369416437043717392.06.01,0.35
84587486278560042152.06.01,0
61385081760617377093.05.01,0.27440000000000003
-36908302779400520992.06.01,0.17149999999999999
21300202867348988442.06.01,0
-70255941184504970832.06.01,0.26335948422649147
25552622265890326023.05.01,0
25552622265890326024.04.01,0
2405313038194283402441,0.5
-90830662052216800771.07.01,0.4658045
18861267936015680972.06.01,0.274447628735
55062805023022945912.06.01,0.009886633715
-21447640631632346082.06.01,0
24053130381942834021.07.01,0.00263834568778212
-44367721324056929451.07.01,1.6839553024806233e-05
64674906172494902782.06.01,2.6335327651974476e-19
30971041501850825672.06.01,0
-44367721324056929452.06.01,0.012051373642388594
64674906172494902783.05.01,0.05528444159
30971041501850825673.05.01,0
30971041501850825674.04.01,0
4443057551980766272441,0.5
-1093251340414637351.07.01,0.4865
32088114065085307181.07.01,0.392
4875248330055662423.05.01,0.35
6184775124839663777261,0.5
16346691529240042281.07.01,0.5
-54538656093140390801.07.01,0.455
-43791056205842732141.07.01,0.245
33232474288946641543.05.01,0
12276402925015041533.05.01,0.5
-42132490760598427972.06.01,0.5
-41445460065892409831.07.01,0.5
50056798536678283691.07.01,0.455
-57074727262126915972.06.01,0.245
82020707839505761603.05.01,0
1418754034533695860711,0.5
19984001015348651971.07.01,0.5
-30533013524853008542.06.01,0.35
13951084039940979872.06.01,0
-21447640631632346083.05.01,0
6369416437043717391.07.01,0.35
30971041501850825675.03.01,0
44430575519807662724.04.01,0.5
4875248330055662422.06.01,0.17149999999999999
3128184065976402415441,0.4676
-4213249076059842797351,0.5
-86251057411900867394.04.01,0.5
1230335905536671015.03.01,0.5
1963248039141283902.06.01,0.35
-7269746797773379384.04.01,0
-3619497214949469945351,0.5
-13083436328537364641.07.01,0.4865
89059657806597198061.07.01,0.392
25307390223116729561.07.01,0.17149999999999999
77185279817348158893.05.01,0
61847751248396637772.06.01,0.5
-80367763896855458763.05.01,0.5
-58992274033442493732.06.01,0.5
-14796334735561546421.07.01,0.5
