board_hash,value
35441,0.38133870947602555
253.05.01,0.8137874934644453
353.05.01,0.6426501191235872
453.05.01,0.0019275358703676822
351.07.01,0.0004943232172949134
454.04.01,0.0009416505044246016
353.05.0-1,0.009123888080929558
252.06.0-1,0.012299580144719137
355.03.0-1,0.048078742955243406
455.03.01,0.07144474269563118
455.03.0-1,0.0012276888585835933
351.07.0-1,0.00042042644777316485
452.06.0-1,0.0006326329205561355
553.05.0-1,0
3544-1,0.01619493205968155
453.05.0-1,0.0009817817406994733
354.04.0-1,0.013968856552515712
456.02.0-1,0.0007716774865990021
352.06.0-1,0.0009772763890804744
452.06.01,0.0005332853343459233
352.06.01,0.03145545327882109
554.04.01,0
456.02.01,0.0023085868285862596
457.01.0-1,0.0005879377363778265
553.05.01,0
556.02.01,0
555.03.01,0
354.04.01,0.7478283498457234
153.05.0-1,1
253.05.0-1,0.5666524229789418
454.04.0-1,0.0010949540330835502
45621,0.05867380875492742
2544-1,0.8989592641435398
556.02.0-1,0
356.02.0-1,0.011238508324090232
457.01.01,0.06043126377062656
554.04.0-1,0
355.03.01,0.47857028361115284
25351,0.5466594341869168
45531,0.00484078265018083
254.04.0-1,0.7680499511125688
356.02.01,0.368521127410327
252.06.01,0.4684241279220713
45711,0.09003612704686623
552.06.01,0
255.03.0-1,0.8923204236741588
357.01.0-1,0.02599058500539122
251.07.0-1,0.009420220982492141
555.03.0-1,0
458.00.0-1,0.1571517364043691
350.08.0-1,0.009306988247687496
154.04.0-1,1
558.00.0-1,0
458.00.01,0.07151931303091254
350.08.01,0.0029266943336151235
558.00.01,0
255.03.01,0.7870015679824279
153.05.01,1
557.01.0-1,0
256.02.0-1,0.7498423957758119
152.06.0-1,1
557.01.01,0
254.04.01,0.8244594177242155
155.03.0-1,1
357.01.01,0.485
251.07.01,0.49453614348369346
154.04.01,1
156.02.0-1,1
358.00.0-1,0.43501007958487237
250.08.0-1,0.25239416958273403
