board_hash,value
-522758095211981785811,0.9629832177878284
-45064451713283117411-1,0.98611885903649
-588314323038540814211,0.9075473863072492
-11798126848158891521-1,0.9328576094911039
-56454710420130083881-1,0.9337227646873916
-456123570939498776011,0.5
15937372380715827831-1,0.5
431100298268132412711,0.5
-9324129849823919281-1,0.5
22589591696546687091-1,0.5
-16252188910105159671-1,0.42
-875837105122786322711,0.38
-7856664396808108502-11,0
-5227580952119817858-11,0.9522583372017063
82218420708616953641-1,0.9999999799433158
79295762193999480031-1,0.9999999973568127
-83677733688315313711,0.9352399375155002
-19273047711007126311-1,0.9653243698538745
-270668684818468964811,0.502408448
1166582330619957158-11,0.5
-5214689884310677063-11,0.5
-68645808994614458271-1,0.5
-56334779072471753711-1,0.5
69773980678543641481-1,0.5
-19821619591502022081-1,0.5
-49577665849231486191-1,0.8488
626656965677350277911,0
8970168742339950161-11,0.6690189900420369
-3039965770056346728-11,0.5
82968147013076247661-1,0.5
14886842862267806691-1,0.5
80229517988917141481-1,0.5
578152351239369483111,0.5
87459439330366311321-1,0.5
-27595759655829771011-1,0.9993021800191458
385848183211305041311,0.82
-86824224220487383381-1,1
49269954878938854211,0.8713640446218618
26360550604246783411,0.499886753792
-618995259660828249811,0.5
-65828823361219539001-1,0.5
-13258915102873182021-1,0.5
-5739550408810390733-11,0.5
421959396169433031-1,0.5
-44975430796151872951-1,0.5
40390814043743783051-1,0.5
49971396618885073491-1,0.5
787098725488988973411,0.5
53888775642134764181-1,0.3
480775066305645796211,0
-117801854830551779611,0.871790481679455
-63303105339469882521-1,0.8302316260032223
-3431471508213882471-1,0.8825894094806349
-43549805891201691251-1,0.9589024129518458
-878401820187656961-1,0.9964929506602332
596111793231050874511,0.57817867264
-46667390413976304111,0.5
-485742689171204211711,0.5
77157616973027836511-1,0.8660800000000001
-540441984740066752811,0
-323254669362136218411,0.8822103174069196
9060842257758925106-11,0.5
-39952481494280915131-1,0.5
52778366852558336351-1,0.5
-33694000527572446191-1,0.5
-81879885570222500251-1,0.5
-307499002932283069711,0.5
47640429305412439861-1,0.5
-23991744472465193941-1,0.5
85050780880468963151-1,0.3
-549010973220627550511,0
-630178052060326250011,0.7980183338876927
66684539075228361541-1,0.8185533405320444
-5090512829073757331-1,0.8476908202639111
918960340409366432711,0.5
-80554077267928605611-1,0.5
78934708349237029481-1,0.5476419686910448
492741199816528372511,0.5
-3975717994600725891-1,0.5
-606905917087834241311,0.5
-17861226870235128311-1,0.5
2217026191750151471-1,0.7
347604819106098821811,0.3
676535490457886808011,0
-87359689972042769811-1,0.9999999996287068
73898249422235346011,0.9985148187363444
-18306411833479856111-1,0.999840380686049
60103979391629534651-1,0.9999993013059799
-33394615588666079771-1,0.999999959715623
-2702323307354114048-11,0.490523904
-6347957310553111306-11,0.5
25607075096609365811-1,0.892
-27779264541322894381-1,1
659339396882918926811,0.8390923892618714
4926995487893885421-1,0.8595638907174553
-18630741741178045881-1,0.8192063746170959
-910335616370299547611,0.5
480967252460490372911,0.5
30587901226529796401-1,0.5
802767832097000075011,0.5
-60771857758144333671-1,0.5
-35617669675912787241-1,0.5
32586629689896346801-1,0.5
-91220366525946342481-1,0.5
36191330861242565021-1,0.7
19992251360043323411-1,1
262438960022572838711,0.8370938111119436
-56091145870866525611-1,0.8439613153984019
13430598208867900891-1,0.8562802415143466
-42442544499083612371-1,0.8840708734545807
-335353749058462577311,0.5
-80068794062697663871-1,0.456852736
-853128163642692424011,0.5
-273691394389703266-11,0.5
-1948140976931710271-1,0.5
45027937462355324531-1,0.5
-57126631070927039971-1,0.7
-72002266648659927831-1,1
-561578970977219387711,0.8615024078065163
8989762167069298476-11,0.5
19381225943747755971-1,0.5
808720202882111684011,0.5
-83667657184592118221-1,0.5
-65133499624988835881-1,0.5
79361698883825523501-1,0.5
-532724228581875329211,0.5
-35754454589787159781-1,0.38
-184176299444711312611,0
21046684157560196211,0.7612836347375694
-56157897097721938771-1,0.8122775251482953
898976216706929847611,0.5
-70036831609381738491-1,0.5
-124973649011803310211,0.5
-76707998889636659461-1,0.5
-26967407067952210611-1,0.5
-82719911496188276881-1,0.5
80010557467901012201-1,0.42
902444087365535930811,0.5
393261809832943457711,0.5
76333956852023571211-1,0.7
-31738759913248041001-1,1
228308959735210103911,0.86966295593429
-58831432303854081421-1,0.9035381969149875
-62524318672370952681-1,0.9208323248706916
-14768250326913060821-1,0.897173014717627
3972785433931556421-1,0.8735832600446265
477140432163398866811,0.5
19028853887452823551-1,0.5
39513940855920581601-1,0.9999989534716232
20566247117594515811-1,0.9999999557795621
23640977799456466151-1,1
-893440092003232739911,0.7904395099000523
-4374122671028950411-1,0.7962895490627607
-57795792747156209531-1,0.8102722394453842
31899145890385575491-1,0.8336182133100678
-27872702155180446001-1,0.8735902920937201
-589812467866091912711,0.5
-4134722135339323161-1,0.5
24542887150357636811-1,0.7
9182586931025214523-11,0.7
42111089492226334211-1,1
42700076227797945511,0.9006758680693621
22382994898054268451-1,0.9044971124043172
510425720860188366211,0.5
-30378318315671225881-1,0.49241076736
38657599768889295711-1,0.46520392294400004
8949887576792604322-11,0.3
-4423125769001437644-11,0
8748595488424001102-11,0.5616826643116258
-32325466936213621841-1,0.8984755696441368
-28276813998521543941-1,0.8789782644337587
-17502553490601252331-1,0.8894445009019201
-83365593510979894111-1,0.9182415976448853
40084518886235576041-1,0.9480313029788755
-50699331912145293311-1,0.9705804590096019
-68682060099355918241-1,0.9870694791320219
78861608421794508571-1,0.9965037409035902
-24514647368970057981-1,0.9995646261093764
90861189048286264001-1,1
412761325836346919611,0.9973068176512981
-82101747694949664871-1,0.9998892428265628
520535587436313953511,0.58598387949568
1651505772991183289-11,0.5
45372603645180520071-1,0.5
102857432923536948011,0.5
39412678082973798701-1,0.5
-48109231017112311571-1,0.7
-29607796050950027301-1,1
-6625786155478341229-11,0.5
4311002982681324127-11,0.5
-86254482242114761001-1,0.58
-51243416427808198601-1,0.96112
-3449443327390254861-1,1
-147007844752328975711,0.77034645827744
-16759883049975713251-1,0.8096461322540366
29488685822553398531-1,0.8827973775742994
-67960958092899162991-1,0.9254967287046658
-7388567892520270271-1,0.9552402669809202
399592792776382943811,0.446774904832
-89676453628407591921-1,0.41987025805312
57940164809778773561-1,0.5885049343858443
-775029555621042632411,0.5
65503799505632000331-1,0.5
26633211380045759821-1,0.7
54966679248078785311-1,1
-170334886544803425411,0.8744923011043708
-35073881597030319541-1,0.920583011255776
-8132145591309831355-11,0.5
-7837309604776386643-11,0.5
-3756071958303092131-1,0.5
8245835342418353233-11,0.5
-19965981931208512191-1,0.5
-45059885632762761341-1,0.5
-357146840499787167411,0.5
57370485928649282461-1,0.3
480917461294595593111,0
396004854373547413611,0.8041843825506364
-68146332464776349491-1,0.8301941075942937
42557851957942614641-1,0.815562567537392
53368743077622435341-1,0.8238285137465292
431307013613323689111,0.5
-776748012525011561811,0.5
77895001267739202971-1,0.5
-77086949910239552321-1,0.5
588622860372893983911,0.5
609144724166769908711,0.3
-44847134361454700011,0
-875210594665124755511,0.9786839358432584
41276132583634691961-1,0.9900989680765967
741237846696075069911,0.5
52053558743631395351-1,0.503072
-76032525519752619171-1,0.7005879727063039
-31541218708415136641-1,0.879604926768087
-40938990951031094901-1,0.9884821849381273
-64508777223747567721-1,0.998725856739328
-90142701848187749281-1,1
-6146307968455046936-11,0.5
8000358817011748891-1,0.477488384
-45869826888578526471-1,0.445699328
-7135855735307694871-11,0.5
-37681390086464459101-1,0.5
-67719267512955176361-1,0.5
51034205668281782151-1,0.5
-48727265836402839551-1,0.5
46008460645635400751-1,0.5
30687876804507139411-1,0.3832
-64030495266511670371-1,0.748
-2542225960716934258-11,0
-1470078447523289757-11,0.5659733873169506
8537909536625910934-11,0.5
23846560491230004931-1,0.5
-63722914344935186071-1,0.46511222169599997
-7536772063252667211-1,0.38518765101055996
-489512582632693824711,0.5
7852077500393888523-11,0.5
45387236636207214221-1,0.5
14922274783183484841-1,0.5
-37937417040136360681-1,0.5
791288771941470554411,0.5
36471289716748519161-1,0.58
53038629777498417481-1,0.82
-91005432247335251961-1,1
-680409729290933346711,0.9706305583765061
-74238405473860020581-1,0.9880205746384066
74274588968931265761-1,0.9957643402947399
-9195582368693983701-1,0.999603619312516
25560498030257089141-1,0.9999648742801672
250816638562734731811,0.6267199999999999
-12633877757496637811-1,0.73552
758944319388494347311,0.5
-3732471667251960371-1,0.892
-1922894155277847311,0.7
-82758094862713739381-1,1
-681463324647763494911,0.8246740005209965
-83547289001353601501-1,0.853034240885092
-50788620696374321761-1,0.8762097182701915
-47271304665181193031-1,0.8912451518466419
39719513051449893211-1,0.9161371084881978
59138832351622558531-1,0.9561306948180298
-189006814779969781911,0.5
40495323541345887181-1,0.8891199999999999
28370925951746145881-1,1
-562622641476996682611,0.5
28359492858147208821-1,0.5
67594121977147605851-1,0.5
86576176590609701861-1,0.5
-152777630559328383611,0.5
8891905581533338221-1,0.5
