board_hash,value
80170615956804703841.07.0-11,1.4272476927059186e-106
63825303549912747371.07.0-11,2.180182469975744e-106
19947232158874617392.06.0-11,6.308994415440515e-16
88194909688133436372.06.0-11,0.00027040749769442806
-16936772734638342882.06.01-1,0.31101977599999997
83539700425248111061.07.01-1,0.33637502976
-36416626244747129411.07.011,0.3556450226176
39961939298290322443.05.011,0.370290217189376
47953537591239257412.06.0-11,8.589934591999931e-25
-85034938263888367212.06.0-11,0.0014188775443033236
-49839296384987508132.06.0-1-1,0.0011397829028763277
19947232158874617391.07.0-1-1,0.0009131635250846275
88194909688133436370.08.0-11,0.0007303909889392949
-16936772734638342886.02.0-1-1,0.003937509409639238
83539700425248111065.03.0-1-1,1.9386932849080544e-06
-36416626244747129414.04.0-11,2.951537197242124e-07
39961939298290322444.04.0-11,2.278251393835764e-06
-80761685086244785390.08.0-11,0.0
70582651998450593120.08.0-11,0.0
-87644695283420901601.07.0-11,4.6759557221094425e-188
-16936772734638342881.07.0-11,3.2097194051603523e-189
83539700425248111061.07.0-1-1,8.528680533350693e-11
-36416626244747129410.08.0-11,6.532744989761274e-10
39961939298290322441.07.0-11,4.475658974337156e-07
39961939298290322440.08.0-11,3.4721283149571756e-08
70582651998450593121.07.0-11,2.1197082229175774e-182
-16936772734638342882.06.0-11,5.601533447722338e-19
83539700425248111062.06.0-1-1,2.6921794527569227e-11
-36416626244747129411.07.0-11,9.328732758582545e-13
-80761685086244785391.07.0-11,1.8526734277969594e-183
33587190540173424370.08.0-11,0.0
46574935214905069160.08.0-11,0.0
-90635638015653629321.07.0-11,6.943815762000395e-166
83539700425248111062.06.0-11,5.947291050880663e-26
-36416626244747129412.06.0-11,0.0007633193587114917
39961939298290322442.06.0-11,1.965453886648085e-05
-90635638015653629320.08.0-11,0.0
83539700425248111061.07.0-11,2.6551161726254057e-166
-36416626244747129413.05.0-11,1.6168158368219375e-05
39961939298290322443.05.0-11,1.4070866406988294e-05
80170615956804703840.08.0-11,1.4196068833897285e-308
63825303549912747370.08.0-11,1.683512267011884e-190
19947232158874617391.07.0-11,1.4071889417104588e-107
-16936772734638342882.06.0-1-1,0.0002134847685801081
-87644695283420901600.08.0-11,0.0
22192833418115812700.08.0-11,4.5869972319798064e-247
-65456935737166999100.08.0-11,2.2656919595264509e-159
-49839296384987508133.05.0-11,1.8105842487147705e-18
19947232158874617393.05.0-1-1,0.008889042569292651
-16936772734638342884.04.0-1-1,0.006346003475472156
83539700425248111063.05.0-1-1,0.0009656472674370829
-65456935737166999101.07.0-11,1.2041149481375544e-105
-49839296384987508131.07.0-11,1.1164489167689998e-105
67669226004695124101.07.0-11,1.6777215999999899e-18
47953537591239257413.05.0-1-1,0.0009334286899801859
-63345356594142431141.07.0-11,6.399999999999986e-06
67669226004695124103.05.0-1-1,0.006504682583490556
47953537591239257412.06.0-1-1,0.00023662435065642713
-85034938263888367211.07.0-11,0.00039800525917831064
-16936772734638342883.05.0-11,3.9462394356883606e-09
33587190540173424371.07.0-11,1.380349269358048e-164
46574935214905069162.06.0-11,2.094507025409236e-24
-90635638015653629323.05.0-11,7.405587924487815e-07
83539700425248111063.05.0-11,1.2102065727690075e-14
83539700425248111064.04.0-1-1,0.011080152389271389
47953537591239257411.07.0-11,7.737125245533495e-62
22192833418115812701.07.0-11,3.568119231764797e-105
-65456935737166999102.06.0-11,9.154419368561129e-23
-49839296384987508132.06.0-11,7.114504204422371e-23
19947232158874617394.04.0-1-1,0.0007991902265554736
88194909688133436373.05.0-11,1.6349684269947904e-09
-16936772734638342883.05.0-1-1,0.0017296561315576033
83539700425248111064.04.0-11,1.1256518370344837e-07
22192833418115812702.06.0-11,5.368709119999963e-22
19947232158874617392.06.0-1-1,0.0010437239752611504
88194909688133436371.07.0-11,9.519345252522371e-05
-90635638015653629322.06.0-11,1.122965322133717e-25
70582651998450593122.06.0-11,4.104778648531935e-20
-87644695283420901602.06.0-11,5.308124651954449e-19
56199920506598442392.06.0-11,3.199999999999994e-05
44250495168752234223.05.0-1-1,0.016851199999999997
1136656234254956282.06.0-11,0.012806912027475258
-85034938263888367213.05.0-1-1,0.00014753784243715237
67669226004695124102.06.0-11,5.368709119999963e-22
46574935214905069163.05.0-11,0.0006080393019393588
-80761685086244785392.06.0-11,2.0971519999999888e-16
70582651998450593123.05.0-11,7.1168004980735835e-06
-87644695283420901603.05.0-11,5.192417650790374e-09
19947232158874617393.05.0-11,0.0005000974608874064
88194909688133436375.03.0-11,0.00110128988639963
-16936772734638342885.03.0-1-1,0.07289437119226183
46574935214905069161.07.0-11,4.550025650882062e-166
-49839296384987508134.04.0-1-1,0.006833086874507212
-16936772734638342885.03.0-11,0.003486636496650238
-16936772734638342884.04.0-11,6.321107813412694e-06
-49839296384987508133.05.0-1-1,0.033019687263431574
80170615956804703842.06.0-11,1.0485759999999946e-15
63825303549912747372.06.0-11,8.287945683253337e-16
67669226004695124104.04.0-1-1,0.006138877542399994
-65456935737166999103.05.0-11,1.6520272947160472e-11
33587190540173424372.06.0-11,8.589934591999931e-25
19947232158874617394.04.0-11,0.004000000054923569
88194909688133436374.04.0-11,0.00036246792611103616
88194909688133436376.02.0-11,0.10308357501830007
-80761685086244785393.05.0-11,0.09999999999999998
-87644695283420901604.04.0-11,0.00020790403078071117
44250495168752234221.07.0-11,5.368709119999963e-22
1136656234254956281.07.0-11,7.689073104381253e-06
-85034938263888367215.03.0-1-1,0.00547147489847615
-85034938263888367214.04.0-11,0.031136038912498054
63825303549912747373.05.0-11,0.0006092800006973023
-63345356594142431143.05.0-11,0.00015999999999999977
-86951646384301097403.05.0-1-1,0.9499711999999999
56199920506598442392.06.0-1-1,0.151568229235981
44250495168752234221.07.0-1-1,0.23281203815479357
1136656234254956280.08.0-11,0.2712561220960788
-85034938263888367214.04.0-1-1,0.21450814671984142
44250495168752234222.06.0-11,8.191999999999965e-11
1136656234254956283.05.0-11,0.007433683928601938
-85034938263888367213.05.0-11,0.002620775108331086
47953537591239257413.05.0-11,3.199999999999994e-05
33587190540173424374.04.0-11,0.09999999999999998
46574935214905069164.04.0-11,0.17599999999999993
-90635638015653629324.04.0-11,0.00013162022002940392
-86951646384301097404.04.0-1-1,0.9499711999999999
1136656234254956285.03.0-11,0.11519999999999997
-85034938263888367216.02.0-1-1,0.18755199999999994
-49839296384987508135.03.0-1-1,0.14547674983382808
33587190540173424373.05.0-11,0.003999999999999997
56199920506598442391.07.0-11,5.119999999999985e-08
44250495168752234222.06.0-1-1,0.0052231940177919975
56199920506598442393.05.0-11,0.003999999999999997
-49839296384987508134.04.0-11,0.004000001569425926
19947232158874617395.03.0-1-1,0.11120184987415639
44250495168752234223.05.0-11,0.0007999999999999991
67669226004695124103.05.0-11,4.0959999999999846e-10
-63345356594142431144.04.0-11,0.003999999999999997
67669226004695124105.03.0-1-1,0.17599999999999993
47953537591239257414.04.0-1-1,0.0034142124277759967
-86951646384301097402.06.0-11,1.279999999999997e-06
70582651998450593124.04.0-11,0.09999999999999998
-49839296384987508136.02.0-1-1,0.10000243404494263
56199920506598442393.05.0-1-1,0.03279974399999999
44250495168752234224.04.0-1-1,0.006362580582399994
47953537591239257414.04.0-11,0.01999999999999999
56199920506598442394.04.0-11,0.09999999999999998
-58468503158877416606.02.0-1-1,0.9463999999999999
-63345356594142431144.04.0-1-1,0.8639551999999999
80170615956804703843.05.0-11,0.09999999999999998
19947232158874617395.03.0-11,0.15788160004731694
-63345356594142431145.03.0-1-1,0.8083199999999999
67669226004695124104.04.0-11,0.09999999999999998
-63345356594142431142.06.0-11,0.00015999999999999977
-75590307859736455617.01.0-1-1,0.86
-58468503158877416603.05.0-11,0.7536
47953537591239257415.03.0-11,0.09999999999999998
-85034938263888367215.03.0-11,0.17599999999999993
44250495168752234224.04.0-11,0.01999999999999999
1136656234254956284.04.0-11,0.05039999999999997
47953537591239257415.03.0-1-1,0.01999999999999999
