board_hash,value
-21671348922678363622.06.01,0.35
21490149772681321812.06.01,0.44975
10129788105702557441.07.01,0.47817875
24053130381942834021.07.01,0.48628094374999997
2763719064377304653.05.01,0.48859006896875
-43508598122697165093.05.01,0.35
-73930370481630757332.06.01,0.44975
67866346191482781901.07.01,0.20011737751249997
12276402925015041532.06.01,0.49172453562499996
2763719064377304651.07.01,0.397651716913484
5656237407566153342.06.01,0.084035
12276402925015041531.07.01,0.3009448342053125
-54771731181228419432.06.0-1,0.00017111662368388104
67866346191482781902.06.0-1,0.42060468072364343
-49128263728533979742.06.0-1,0.9499999999999998
17147504237118092862.06.0-1,0.9024999907508575
18861267936015680972.06.0-1,0.8575623477748916
-90830662052216800773.05.0-1,0.820475978418336
12276402925015041531.07.0-1,0.7749854025900557
2763719064377304651.07.0-1,0.736736226853097
-73482599505699782242.06.0-1,0.949999947021821
-90830662052216800772.06.0-1,0.8151459615046746
-43508598122697165093.05.0-1,1.15517005727011e-06
-73930370481630757332.06.0-1,0.01382953238267566
67866346191482781901.07.0-1,0.0010887312866554452
12276402925015041532.06.0-1,0.007853443117168117
30833643820309311132.06.0-1,4.37747084958826e-06
90171036858207269332.06.0-1,0.5650667628252942
51632316451260050601.07.0-1,0.9024864040484611
17451646426496156866.02.0-1,0.0201768035
55062805023022945912.06.0-1,0.0032621025933490012
18861267936015680974.04.0-1,0.003953794126087407
66372659235157215834.04.0-1,0.49517145188137973
-49128263728533979744.04.0-1,0.5774662652094107
72474047011132013812.06.0-1,0.912940565
778609626508531383.05.0-1,0.00424397195143944
55062805023022945913.05.0-1,0.03676108949437408
18861267936015680973.05.0-1,0.0036092494359541427
17211520026901358141.07.0-1,0.8573748547683332
16346691529240042281.07.0-1,0.8144929201436093
61847751248396637771.07.0-1,0.7728245463595863
2763719064377304654.04.0-1,0.7232881959814454
47156193553757263262.06.0-1,0.7295
40694813406558143762.06.0-1,0.530975
-41445460065892409831.07.0-1,0.9478222952335886
-42132490760598427971.07.0-1,0.7788110766986286
2763719064377304655.03.0-1,0.722301585642155
90171036858207269331.07.0-1,0.9499984255522109
49070697614415888181.07.0-1,0.7347037315551856
-49128263728533979743.05.0-1,0.38692521842132244
55388531437364203732.06.0-1,0.9499999999999998
35061241083240580503.05.0-1,0.9006558231813387
17147504237118092864.04.0-1,0.8529877700166267
55062805023022945914.04.0-1,0.2466088405144244
33943450090128217012.06.0-1,0.8585250806536308
17147504237118092863.05.0-1,0.8489296867671308
-76413975330039367894.04.0-1,0.245
-37363259857393007233.05.0-1,0.38465
52275217980214431654.04.0-1,0.47817875
-31310734261734018362.06.0-1,0.5368281037062499
43162369165632051065.03.0-1,0.48859006896875
-37296331457702316513.05.0-1,0.5336860141948055
-23969250533977802972.06.0-1,0.9499999931144163
10257330033284477452.06.0-1,0.902437963113706
45730521064344757632.06.0-1,0.8049938262850048
-37296331457702316511.07.0-1,0.6983734466019421
-23262319322337665544.04.0-1,1.3439464606256484e-39
-3121412461956567772.06.0-1,0.00047410922499434554
-17501722973693904641.07.0-1,0.0009489453314384346
40694813406558143761.07.0-1,0.756524705
11727858460981178921.07.0-1,0.530975
-36194972149494699452.06.0-1,0.5422076745866764
2763719064377304652.06.0-1,0.7369130284930301
77711545467830792640.08.0-1,0.8973243327274045
-35791486360950781191.07.0-1,0.777804379521384
-56002776648596168914.04.0-1,0.501327875
49070697614415888184.04.0-1,0.4924186438625
71327605011904700352.06.0-1,0.6343893412311266
24053130381942834023.05.0-1,0.530975
18012562355187485034.04.0-1,2.3418468430988567e-49
-21639799927323091272.06.0-1,0.00169138940371088
18012562355187485036.02.0-1,0.006920643600500001
40755390135908240591.07.0-1,0.841955
40345791975126380861.07.0-1,0.6324732499999999
55062805023022945915.03.0-1,0.00039896133148806007
44129806240045197434.04.0-1,0.0016616465284800502
-55537908234013585643.05.0-1,0.030985386401584533
50158453538689722664.04.0-1,0.12323322791536506
-22165782455012710132.06.0-1,0.9024942034778778
-7595614336407206242.06.0-1,0.8573237048044602
50158453538689722662.06.0-1,0.9499999713221081
-43433083859887944341.07.0-1,0.8236837828062611
30049398552352025584.04.0-1,0.12004999999999999
-26465570468654370052.06.0-1,0.256907
84440101472220757942.06.0-1,0.635
-70050313365614651343.05.0-1,0.530975
-2589081535394268952.06.0-1,0.7955281776411125
-10890614319079692602.06.0-1,0.6771615604684865
2763719064377304653.05.0-1,0.7458046611470533
-64330499457292388204.04.0-1,0.11878775508242614
-919874875354574144.04.0-1,0.567109961207975
7995277968672084854.04.0-1,0.18863585021695708
-73482599505699782243.05.0-1,0.22188098434734857
-25427333151544272692.06.0-1,0.912940565
32088114065085307182.06.0-1,0.7749853952719999
-1093251340414637352.06.0-1,0.6498741794211242
44430575519807662721.07.0-1,0.7304404520360428
-23262319322337665545.03.0-1,0.01412376245
22546537576468015871.07.0-1,0.9499761353978627
-13083436328537364641.07.0-1,0.8937802997782933
-36194972149494699451.07.0-1,0.829630453891332
-21639799927323091274.04.0-1,0.007848760093640047
26855361477361601031.07.0-1,0.8573757401855319
-1093251340414637351.07.0-1,0.8156755197537382
17451646426496156864.04.0-1,2.4469049076459133e-20
-21639799927323091273.05.0-1,0.08029379892852502
22659080022990941304.04.0-1,0.0201768035
-70567224773955961592.06.0-1,0.08468492669
-54538656093140390801.07.0-1,0.17144127724280372
16346691529240042282.06.0-1,0.2476273518267468
-23648535156411015851.07.0-1,0.7295
30146239216189381631.07.0-1,0.8139102379248758
-24502685616973759611.07.0-1,0.6894163977636242
-36194972149494699454.04.0-1,0.492878444375
-41414068303962322972.06.0-1,0.7564660916782806
24053130381942834021.07.0-1,0.7690858098778158
89188231609999714634.04.0-1,0.0201768035
5360294696714837425.03.0-1,0.35
-20552178144953704134.04.0-1,0.44541143497197394
-31746434021212006684.04.0-1,9.579061569028324e-05
5656237407566153342.06.0-1,0.0007534058993224854
67866346191482781903.05.0-1,0.007437394387184109
29281504316775041241.07.0-1,0.011697531995554697
2763719064377304656.02.0-1,0.024613381009888937
-14796334735561546422.06.0-1,0.9013012499300965
17211520026901358142.06.0-1,0.7716351995580892
15796548756863545742.06.0-1,0.9499999999999328
-20552178144953704132.06.0-1,0.9499998069070573
77568452437409215911.07.0-1,0.8743685
53490966317357134673.05.0-1,0.9485045181243679
55388531437364203735.03.0-1,0.8377534929330843
-23969250533977802974.04.0-1,0.8104481040502217
5783063227751243092.06.0-1,0.8572080291648343
-11051449214683610961.07.0-1,0.8888694939433074
-36194972149494699453.05.0-1,0.6569039265394543
-87393207605378251174.04.0-1,0.35
49143679006040543942.06.0-1,0.44975
-73482599505699782244.04.0-1,0.5291276122241486
-17172472452468482583.05.0-1,0.08189210750000003
-79404453594330589222.06.0-1,0.5919435200690142
31281840659764024151.07.0-1,0.5087778825351291
29281504316775041244.04.0-1,0.3614631181332202
-16685987485397617602.06.0-1,0.841955
-2907994662572209652.06.0-1,0.530975
81566193618584517762.06.0-1,0.48903697999999995
22546537576468015872.06.0-1,0.43641957164749995
5360294696714837424.04.0-1,0.1676509980864459
35061241083240580505.03.0-1,0.00027927293204164206
-23262319322337665546.02.0-1,0.084035
10528447818443255700.08.0-1,0.9024999904813595
-7595614336407206243.05.0-1,0.8017244520304485
55388531437364203733.05.0-1,0.9469479961721794
51225645174322052974.04.0-1,0.10280151245
-70050313365614651341.07.0-1,0.912940565
71327605011904700356.02.0-1,0.491533193680625
-42132490760598427974.04.0-1,0.4793418158892847
42459027759708252243.05.0-1,1.5738094381285769e-06
42459027759708252245.03.0-1,0.084035
-73335289155801716144.04.0-1,0.0005699447592686572
-36908302779400520992.06.0-1,0.014587206353000726
10257330033284477455.03.0-1,0.40794362
45730521064344757633.05.0-1,0.8149578245677983
64910191565189438064.04.0-1,0.245
-31848586514134711963.05.0-1,0.090969148025
-24406241179437733093.05.0-1,0.44435037499999996
-48614822076352449032.06.0-1,0.13707232807606415
49070697614415888182.06.0-1,0.49270691874278544
22496118916994902951.07.0-1,0.635
6761799133453316681.07.0-1,0.530975
39514796125053434642.06.0-1,0.6294681195316849
82722536429722228743.05.0-1,0.29687252413751963
-22165782455012710134.04.0-1,0.40299286812040774
-37022355142283679627.01.0-1,0.35
-79404453594330589223.05.0-1,0.410984
66372659235157215837.01.0-1,0.0008142067989552247
75542577334200922262.06.0-1,0.841955
-62900920165397526591.07.0-1,0.7956886064502586
-37296331457702316512.06.0-1,0.507677954227026
66372659235157215838.00.0-1,0.0588245
15606789190808407452.06.0-1,0.7295
69710020473079996111.07.0-1,0.8462235357736686
-56002776648596168911.07.0-1,0.8047195429768776
-3121412461956567773.05.0-1,0.023979016531381875
778609626508531385.03.0-1,0.10607941412079772
65196813843953241714.04.0-1,0.17149999999999999
18691924049803297672.06.0-1,0.3181325
51346995657003601131.07.0-1,0.40171302499999995
51632316451260050602.06.0-1,0.4433510167625
-919874875354574142.06.0-1,0.9499999999975629
48375165476269646263.05.0-1,0.009886633715
-17501722973693904642.06.0-1,0.040881230411525
-37022355142283679624.04.0-1,0.35
45100235426695413072.06.0-1,0.79565
28569740980623805792.06.0-1,0.4568900975
-919874875354574143.05.0-1,0.3546692879638354
10192310377382870834.04.0-1,0.14912610812362256
15796548756863545744.04.0-1,0.4013048501429883
55943821443387938364.04.0-1,0.00039896133148806007
83661931323356148503.05.0-1,1.1016788548816107e-06
-41414068303962322975.03.0-1,0.47817875
35061241083240580506.02.0-1,0.009886633715
49222935602400676660.08.0-1,0.8585041741531971
48230867988762987681.07.0-1,0.8442949712266222
51040068373867276091.07.0-1,0.8034689132506669
70372067511549474192.06.0-1,0.04243666480533621
-48614822076352449033.05.0-1,0.49553260323875
-44924306657533932272.06.0-1,0.9024998622523457
-55744794581001158584.04.0-1,0.14986924574303778
35061241083240580504.04.0-1,0.45884544698785984
-54094965305224039721.07.0-1,0.8743685
-47286253743218412061.07.0-1,0.6936701682387499
4782796062206697881.07.0-1,0.5711875388736499
-81734611571146745302.06.0-1,0.841955
-43508598122697165094.04.0-1,0.12004999999999999
-79468091042474962584.04.0-1,0.245
-69736206374925159853.05.0-1,0.44975
-30405350131433569521.07.0-1,0.45437525
-86251057411900867392.06.0-1,0.35719666495624997
29281504316775041242.06.0-1,0.40678219840897795
-30533013524853008543.05.0-1,0.35
19984001015348651972.06.0-1,0.297725500625
14187540345336958601.07.0-1,0.35855544337812495
29281504316775041247.01.0-1,0.38443271370369003
-66337911278280548262.06.0-1,0.79098275
70029882236800489344.04.0-1,0.3895576213766397
-44367721324056929452.06.0-1,0.31550140818706224
24053130381942834025.03.0-1,0.516093362979145
90343059354733614301.07.0-1,3.143080407817029e-05
18012562355187485035.03.0-1,0.0033911153642450006
50158453538689722663.05.0-1,0.23410817140534984
19208088025469275673.05.0-1,0.04907299105242914
90343059354733614302.06.0-1,0.06248645741267464
89938878822404675411.07.0-1,0.89705795
65928492032050850121.07.0-1,0.7076306382499999
-82048983457683433681.07.0-1,0.5724518306824999
-22165782455012710133.05.0-1,0.47042253633649
-43165439367730066032.06.0-1,0.5658516131623671
83661931323356148506.02.0-1,0.35
30833643820309311133.05.0-1,0.006268684017236152
18861267936015680975.03.0-1,0.08511708704298736
66372659235157215835.03.0-1,0.0016616465284800502
12078128946314542762.06.0-1,0.635
48496678233963137901.07.0-1,0.8500843602209484
41320343327447134001.07.0-1,0.7508402653182903
-5559478259462778851.07.0-1,0.638557627683429
-68807583618657560511.07.0-1,0.79565
64636879310219808607.01.0-1,0.35
-73930370481630757333.05.0-1,0.37980941839829974
-33026500707121485100.08.0-1,0.9499999999999998
10528447818443255701.07.0-1,0.8996380589407059
-34855480588988600402.06.0-1,0.9437714207595499
26855361477361601032.06.0-1,0.874336278444497
55943821443387938366.02.0-1,0.35
-31746434021212006685.03.0-1,0.35
43162369165632051062.06.0-1,0.4868197321071875
61847751248396637773.05.0-1,0.5982086286964017
77742138327372339962.06.0-1,0.32727919513496356
29281504316775041246.02.0-1,0.30455945333090595
-68436918920983677092.06.0-1,0.9499999533119267
6176133793355213463.05.0-1,0.530975
2687491243839007282.06.0-1,0.8242948914609932
-42132490760598427972.06.0-1,0.6548732114355578
61847751248396637775.03.0-1,0.49527136835644997
-6782562326601105122.06.0-1,0.8743685
3709203164734458642.06.0-1,0.6782563947499999
-19416083949336502852.06.0-1,0.841955
-40385806091422940932.06.0-1,0.47882414241968746
-32812437487257300642.06.0-1,0.79565
52275217980214431652.06.0-1,0.6324732499999999
65888950592454850082.06.0-1,0.7295
-65421986826831558202.06.0-1,0.5795899999999999
-37870561100713306812.06.0-1,0.5161126625
-45880183921164241952.06.0-1,0.492107019875
80913784527017709344.04.0-1,0.0588245
89059657806597198061.07.0-1,0.4005680989625
81064086799575152662.06.0-1,0.49932973999999997
-36194972149494699456.02.0-1,0.4923089759
-13083436328537364642.06.0-1,0.4665251268977187
-41414068303962322973.05.0-1,0.18629221777589447
6176133793355213461.07.0-1,0.7874421109729051
-55537908234013585646.02.0-1,0.35
40313282760931174792.06.0-1,0.7295
-75497117304212185444.04.0-1,0.35
40940243075335778443.05.0-1,0.44975
39514796125053434645.03.0-1,0.43447512499999996
53490966317357134674.04.0-1,0.9478635973205256
55388531437364203734.04.0-1,0.7237691895262466
-78801723578069077754.04.0-1,0.0201768035
39009933204068918862.06.0-1,0.07729156940750001
-90992970420240869732.06.0-1,0.79565
-53023919745121824440.08.0-1,0.635
-91718370582542616242.06.0-1,0.530975
480923064984873702.06.0-1,0.501327875
-67785182396285145151.07.0-1,0.6138323146711534
61847751248396637772.06.0-1,0.5352114101189311
81566193618584517763.05.0-1,0.2959792325
83661931323356148505.03.0-1,0.0008142067989552247
5656237407566153345.03.0-1,0.17149999999999999
31626187434172746432.06.0-1,0.7447083940577051
44430575519807662725.03.0-1,0.5090036375
89188231609999714636.02.0-1,0.35
81851053341417797444.04.0-1,0.245
-41572332319679669572.06.0-1,0.38465
60836081090559436301.07.0-1,0.44435037499999996
40159584305627408022.06.0-1,0.46703651749999997
10129788105702557441.07.0-1,0.7493365239021419
24053130381942834022.06.0-1,0.48331223250929006
53842479907447356363.05.0-1,0.35
74345972936503871862.06.0-1,0.4450386777875
21932792435297104651.07.0-1,0.5343859570075941
29281504316775041243.05.0-1,0.41465591121284884
-18271009459448617944.04.0-1,0.07470711500000002
70029882236800489343.05.0-1,0.1971229298029249
-24406241179437733094.04.0-1,0.45798087125
-54094965305224039722.06.0-1,0.57676025
80650631874694128491.07.0-1,0.841955
86944882395169569472.06.0-1,0.6826884499999999
50056798536678283692.06.0-1,0.57363982625
-41445460065892409832.06.0-1,0.51265577135
778609626508531384.04.0-1,0.01698163755294911
-20552178144953704133.05.0-1,0.3102531381211318
66372659235157215836.02.0-1,0.009886633715
35061241083240580507.01.0-1,0.17149999999999999
71575699267197452154.04.0-1,0.35
-34855480588988600403.05.0-1,0.44975
-50573740863641881390.08.0-1,0.9498768406369696
83661931323356148504.04.0-1,0.0033911153642450006
68674931026920194512.06.0-1,0.841955
2446545493989355442.06.0-1,0.679956583625
-85601664513027785252.06.0-1,0.57084432137
3245467164157988824.04.0-1,0.35
-85878908719772368041.07.0-1,0.912940565
480923064984873701.07.0-1,0.7788249626492634
-55537908234013585645.03.0-1,0.35
20890176470811663262.06.0-1,0.8903091322519737
82722536429722228746.02.0-1,0.245
-43433083859887944342.06.0-1,0.5128685903282789
-19216608732665155001.07.0-1,0.6038741136355065
-86043193637787149211.07.0-1,0.8932156005790194
69707103807834577351.07.0-1,0.7320532937916333
