board_hash,value
253.05.0-11,0.9499999999999998
353.05.011,0.8126502880868538
453.05.0-1-1,5e-324
352.06.0-1-1,6.505706721573802e-05
451.07.0-11,6.448473624146658e-05
353.05.0-1-1,5.036066009973209e-05
355.03.0-1-1,6.103222037651249e-05
253.05.0-1-1,0.007063542112691219
352.06.0-11,0.007209235493370022
454.04.01-1,5e-324
353.05.01-1,0.00012569283979754043
451.07.011,0.00012680766045846108
354.04.01-1,0.0005755847838742564
255.03.0-1-1,0.01973302575189495
355.03.01-1,0.0004188669764087873
453.05.01-1,5e-324
452.06.011,0.0005049836762696523
35531-1,0.00034989294083639016
353.05.0-11,0.9024994879777304
253.05.01-1,0.8570715131226689
255.03.01-1,0.6092626674298961
254.04.01-1,0.674862818777056
354.04.0-1-1,2.473915232126634e-05
352.06.01-1,0.00043814903227264347
452.06.0-11,0.0005172459084140142
357.01.01-1,0.0036185437470593884
457.01.0-11,0.03631741320000638
356.02.01-1,0.001020677712264635
453.05.0-11,0.019977777839106325
455.03.0-1-1,4.28848056539023e-22
356.02.0-1-1,1.847341965295841e-05
254.04.0-1-1,0.027679778811562743
456.02.0-1-1,1.2904310549467493e-19
455.03.0-11,0.0010000345245644744
455.03.01-1,1.937338949537701e-61
351.07.0-11,0.010932806671189376
357.01.0-1-1,0.00020979527084134705
453.05.011,0.7545346469741124
454.04.0-11,0.0012444269196709116
256.02.0-1-1,0.0001925475350371482
454.04.0-1-1,5.9896522475052814e-46
352.06.011,0.7715790262795337
256.02.01-1,0.4948047763638781
35711-1,0.000886093456008443
354.04.0-11,0.9024961199848199
351.07.011,0.5806624536988024
457.01.011,0.5154887993041587
358.00.01-1,0.008991984857686664
454.04.011,0.6518492281417176
35621-1,0.0013599076579667432
353511,0.7709401116819973
3544-11,0.9000609379728959
456.02.0-11,0.011056457735464268
457.01.01-1,4.6937401688238784e-05
456.02.01-1,1.8351684108647076e-08
452.06.01-1,1.8434729356382135e-19
455.03.011,0.6219411844647956
450.08.011,0.0042244796662387896
458.00.01-1,0.0008142067989552247
450.08.0-11,0.1253933958393435
358.00.0-1-1,0.15032106281783897
254.04.0-11,0.9456399945316849
350.08.0-11,0.26020410028592766
458.00.0-11,0.45420080046497613
457.01.0-1-1,0.0001368437367004046
253.05.011,0.9499793006058554
354.04.011,0.8947186473129789
355.03.0-11,0.8825781795768328
257.01.0-1-1,0.07487128842529128
255.03.0-11,0.7295
356.02.0-11,0.7520627381664717
252.06.0-11,0.841955
355.03.011,0.8807202596464544
456.02.011,0.5616927180697227
458.00.0-1-1,0.084035
258.00.0-1-1,0.42415816858148936
350.08.011,0.5227379564564628
258.00.01-1,0.49898031759009187
