board_hash,value
-160442628005157923411,0.3
-91955823686939837011,0.2596831621435943
-18735604304216607611-1,0.2562037164992571
-8735968997204276981-11,0.19924043428188795
79295762193999480031-1,0.16777215999999986
82218420708616953641-1,0.13421772799999987
-45064451713283117411-1,0.1073102595064094
-52275809521198178581-1,0.08569471743202181
-5767454395474259454-11,0.3
44758646199681789331-1,0.24915907657164063
-299873205150630541511,0.22508380017307475
-14518914259372562751-1,0.08551132199367444
-522758095211981785811,0.06573313600082989
75217838380815857031-1,0.76112
40765325467510789751-1,0.4984
60341090219590574081-1,0.459488
460379569764885768711,0.44703616
-530776887531510235811,0.3863077670912
57512806724383689651-1,0.3111481184228942
-84380848220587745891-1,0.27319327657685566
-41952260573128470751-1,0.35297420354583603
61094581114498648331-1,0.37707607774049867
-234537547232570571811,0.24082674825105513
33233637384626840261-1,0.13444751043739583
-67793831578375049571-1,0.10778280201674126
-450644517132831174111,0.08951322027631742
3003714368509399906-11,0.3
-607622384317491764611,0.396
12163905372477425851-1,0.42672
-7102529050765446821-1,0.4365504
-179471676293339735011,0.37173734110823714
-26423490867392145611-1,0.24315158619612978
-82383626517815800621-1,0.303385266016585
564086781947172440711,0.2485318307218293
-7327288845510588191-1,0.1577417224488034
52799727876743550221-1,0.12750539828030633
822184207086169536411,0.11439583195647188
6266944782799221671-1,0.6920000000000001
-440944431634735427911,0.5343040000000001
-39040729383198469211-1,0.46640204800000007
81058071908503817311-1,0.39594232832000004
9501196650024171681-1,0.35499125841920004
418107172595190835911,0.2616581404939807
-42442544499083612371-1,0.16192801672658522
13430598208867900891-1,0.1307406694148787
-56091145870866525611-1,0.10581374262177998
26243896002257283871-1,0.08560927811222808
11792580512922029581-1,0.06982589617066746
-5227580952119817858-11,0.07196705312788908
90550212722481939071-1,0.62
-109080439201156797111,0.4984
61527995635802551021-1,0.459488
17555008105706565121-1,0.44703616
4170775084938202931-1,0.4430515712
45322111508428086351-1,0.441776502784
8937915894754167984-11,0.44136848089088
-49703485192147743921-1,0.4412379138850816
-78604150192702419591-1,0.44119613244322614
3490139750169125832-11,0.4411827623818324
905997187811749301111,0.2664957308490326
73429237263754891961-1,0.07541688549924659
-82590664851593622371-1,0.6920000000000001
-86126912700639584131-1,0.4641927680000001
47942972274573127531-1,0.37003850752000006
36055767570011921611-1,0.29990726475776003
-47582716543364989591-1,0.2707723959894016
-3940789141321670481-1,0.441776502784
-83181444778082815131-1,0.404517216534528
-282768139985215439411,0.27597968456147864
-32325466936213621841-1,0.10565024819033257
-48278721458071199381-1,0.7999999999975752
5408025556594379321-1,0.5539191069602728
-70469544771986118291-1,0.4363844484888301
-890212959598616581611,0.39815272551115677
89907369112692187811-1,0.38166212700271546
-5188811809825280421-1,0.3092433382508598
38771577657400931991-1,0.2488259476427093
-873596899720427698111,0.19381424091376628
-845275267196438413511,0.3043222016
-9400285493351516841-1,0.2242638127835015
-32735058307963204311-1,0.22753606801675244
86793956838375965341-1,0.28153648729768765
425578519579426146411,0.1900529988042335
-68146332464776349491-1,0.13248290281083427
-8247679741699796211-1,0.62
82586781612879450321-1,0.4984
26309138567696909061-1,0.459488
35868304542602703621-1,0.364221696
-2181493327100499101-1,0.38238188543999996
-1697192819818615538-11,0.441776502784
-1674213697485553181-1,0.44136848089088
-4541164310640067798-11,0.40544550929104894
-6796095809289916299-11,0.28736524926082874
29488685822553398531-1,0.13322880151887334
-16759883049975713251-1,0.107175135988444
7408257781110273531-1,0.62
7125869397178912501-1,0.4984
57797415575061581951-1,0.459488
516582027155800547211,0.44703616
11121501465264323581-1,0.4430515712
13755425323301530441-1,0.441776502784
85768023440000254461-1,0.44136848089088
65389881367448441831-1,0.4412379138850816
333620969777038985711,0.44119613244322614
-560911458708665256111,0.172560436147044
-18109286407691626561-1,0.7916019200000001
27113715417610215421-1,0.5505610240000001
-288632490831370088711,0.38685568000000004
31720142125941037241-1,0.31931603148800003
-790103739497862713511,0.40332764553453987
43270078030827931451-1,0.39135643952566584
78934708349237029481-1,0.3513596475890084
-80554077267928605611-1,0.4412379138850816
91896034040936643271-1,0.44119613244322614
-50905128290737573311,0.2243667205264902
66684539075228361541-1,0.13399567881446423
-63017805206032625001-1,0.10740140674526322
19907748733727631091-1,0.08933795411043666
-177289580133999267711,0.3
-916200511352813675111,0.396
73949182227281350971-1,0.4141885762273281
9860849295510834201-1,0.346111083813929
-59251978024384055521-1,0.3070337976464311
-5182973683094084741-1,0.3382501712266527
-91303194214043631021-1,0.3728549848968489
-59358839572489692421-1,0.38399037280037407
6423764468528488110-11,0.4411609480711373
-6301780520603262500-11,0.22026944383941593
562368999994758461-1,0.62
35771353901035675171-1,0.4984
-14102213060387924111-1,0.459488
684558969178276746011,0.38529710219264
3612362304379967151-1,0.31828524455156415
-45929850951023766571-1,0.27344448056122744
-2345375472325705718-11,0.27876749330891093
-1280572972577692242-11,0.3
57959299840868102821-1,0.436
-3443930048629202072-11,0.42672
3450030170059424357-11,0.4365504
-44489401442145237941-1,0.42330567680000003
47236817272045209851-1,0.3779284873216
90249309482216805101-1,0.44102488350720004
503143080352027511811,0.2720501102876937
-19919500791833527301-1,0.19491722431021904
792957621939994800311,0.1428189650803561
884235959894957843811,0.3
46053480866611208011-1,0.396
155255735354440578011,0.42672
36825129255868645231-1,0.4110094723933934
40264930810951855911,0.33293770303406084
-49776335385641801431-1,0.3362326556360869
41085148103608728471-1,0.26131664697311585
51272782987207630961-1,0.20797089205234456
71841280559101712831-1,0.16677719349557235
2522239162604694801-1,0.62
-58760213099319447721-1,0.4984
847198153876175192611,0.459488
-62502998346644459711-1,0.44703616
40213749272801601881-1,0.4430515712
8640083985077218051-1,0.441776502784
-19792354570235779981-1,0.44136848089088
-9142980095030786853-11,0.4412379138850816
-80801550854675314861-1,0.405878627537073
4929939751549921738-11,0.31993700560770555
8221842070861695364-11,0.11105781705519904
-28144352338309933291-1,0.7352000000000001
-75283791071888826121-1,0.5343040000000001
-17024220643806147131-1,0.4466700800000001
-57761291377228631271-1,0.41115612160000004
-19978964919265077151-1,0.4430515712
45503126478802495601-1,0.441776502784
-59494730808214066941-1,0.44136848089088
-5100475938072566646-11,0.4412379138850816
1085030813921577628-11,0.27657156167038816
