board_hash,value
354411,0.07729713840461389
253511,0.048200061561270734
356.02.01-1,0.11639053874967628
252.06.011,0.17062760769712854
353.05.01-1,0.2987712858969408
456.02.01-1,0.02504121098354315
351.07.011,0.005719173616983243
453.05.01-1,0.00403892946613553
454.04.01-1,0.013515606922896106
352.06.011,0.02450244650486575
553.05.01-1,0
452.06.011,0.0866798134148749
451.07.011,0.03967812976450762
354.04.01-1,0.03606678593041624
253.05.01-1,0.6661126657263847
256.02.01-1,0.20033148626545844
353511,0.6360117732870223
253.05.011,0.8774036761889931
455.03.01-1,0.011203134238756381
353.05.011,0.8786004950292359
555.03.01-1,0
453.05.011,0.6697515476260261
355.03.01-1,0.47844667987679856
353.05.0-11,0.7170517547537905
454.04.0-1-1,0.0015408533554335888
352.06.0-11,0.0075610965262580395
452.06.01-1,0.027600099758871073
252.06.0-11,0.01808534204076445
355.03.0-1-1,0.01614826990742324
353.05.0-1-1,0.013334020318150393
354.04.0-1-1,0.008442611631812563
253.05.0-11,0.9499999999985519
153.05.0-11,1
254.04.0-1-1,0.024659389305546123
253.05.0-1-1,0.0076281429757097605
255.03.0-1-1,0.017921661798609326
453.05.0-11,0.017294620077253863
352.06.01-1,0.05807607051032741
452.06.0-11,0.07760867238273596
3544-11,0.027337685235947283
554.04.01-1,0
45711-1,0.03443893133731435
35711-1,0.03048768962631001
455.03.0-1-1,0.01321273085965494
351.07.0-11,0.00028063984206357887
452.06.0-1-1,0.002407220701673541
553.05.0-1-1,0
453.05.0-1-1,0.00034522283530703183
352.06.0-1-1,0.00953610800926586
451.07.0-11,0.009452272005546516
556.02.0-1-1,0
456.02.0-1-1,0.0013218568301768215
554.04.0-1-1,0
354.04.0-11,0.07671786586226449
454.04.0-11,0.008374452008181592
355.03.011,0.8137897248809434
455.03.011,0.7347935480452429
255.03.01-1,0.7875387495462856
254.04.01-1,0.8296901706958065
356.02.0-1-1,0.008980123273493894
355.03.0-11,0.028555542776898975
455.03.0-11,0.02117678007779488
556.02.01-1,0
256.02.0-1-1,0.02153605108386592
254.04.0-11,0.8544825705378479
457.01.0-1-1,0.0022760807706566494
357.01.0-1-1,0.008071358423847107
2544-11,0.9499222771218909
457.01.01-1,0.023205209712571527
357.01.01-1,0.042626147334934285
255.03.0-11,0.8819675624938348
555.03.0-1-1,0
354.04.011,0.8820565799736105
454.04.011,0.8230394346852942
356.02.0-11,0.14177381690605034
456.02.0-11,0.05148915733666678
557.01.01-1,0
154.04.0-11,1
45531-1,0.02659282100788954
35531-1,0.02429276133297594
557.01.0-1-1,0
45621-1,0.01857903068188055
35621-1,0.028190177713878516
552.06.01-1,0
255.03.011,0.8743685
153.05.011,1
558.00.0-1-1,0
458.00.0-1-1,0.06438038669454589
357.01.0-11,0.11027937171396478
251.07.0-11,0.03044807466899365
457.01.0-11,0.06610375805441535
257.01.0-1-1,0.11399379819254168
254.04.011,0.6490361898878527
458.00.01-1,0.009818846747131196
350.08.011,0.029991079431220556
450.08.011,0.1126033783095725
358.00.01-1,0.10446865791771237
155.03.0-11,1
558.00.01-1,0
356.02.011,0.24698534634754302
456.02.011,0.25914071219525786
350.08.0-11,0.017778607196424177
450.08.0-11,0.037448977357368685
358.00.0-1-1,0.0632778948651396
256.02.0-11,0.89705795
152.06.0-11,1
251.07.011,0.4106752199789406
257.01.01-1,0.39167815643594606
