board_hash,value
-522758095211981785811,0.30065780133009323
-45064451713283117411-1,0.3006578013300897
82218420708616953641-1,0.34360891580581676
527997278767435502211,0.39148502656552275
-264842858951899501011,0.47180980193392075
-66873866066436327791-1,0.3751200765509006
317185461789204338311,0.5
24181474650578552401-1,0.44102488350720004
23177916009390494261-1,0.5
-17697574744182894111,0.5
-87188963594821112551-1,0.4365504
-91313797743877919761-1,0.5
-59659424706323087411,0.5
46396908373425560511-1,0.3
-3785000656393234957-11,0
4639690837342556051-11,0.3
-5965942470632308741-1,0.396
-913137977438779197611,0.42672
-1769757474418289411-1,0.439696128
231779160093904942611,0.44070276096
31718546178920433831-1,0.44112796272230403
-668738660664363277911,0.38391476367673266
-26484285895189950101-1,0.3297118616305343
822184207086169536411,0.2468164762329949
-52275809521198178581-1,0.24052624106407344
-5227580952119817858-11,0.17238954408123305
-167598830499757132511,0.32553147456942044
29488685822553398531-1,0.3335634220374479
-67960958092899162991-1,0.38724590377147156
-7388567892520270271-1,0.44671515741386164
832896508121087675611,0.45701800867498993
-91823431474861230161-1,0.47069395156255334
-785383372935800884311,0.5
-6774554292019249371-1,0.44964643839999996
-8445887156078469980-11,0.18
2572936673879433462-11,0
-677455429201924937-11,0.35760000000000003
-78538337293580088431-1,0.39771229184
-918234314748612301611,0.3631255939762094
83289650812108767561-1,0.33234903731233023
-73885678925202702711,0.3084531393465197
-16759883049975713251-1,0.28620739528979633
-450644517132831174111,0.21752709251528843
427000762277979455-11,0.27985267808865133
-5063253788331829659-11,0.3633958696115145
64222934847667908301-1,0.24142777450535755
89818676995832810341-1,0.25603866900794225
6214634372967447585-11,0
8981867699583281034-11,0.31143297444526247
-50632537883318296591-1,0.30255182240151757
79295762193999480031-1,0.3926959037780763
231913453809271542511,0.4061025075380923
-18735604304216607611-1,0.402872987553862
-9195582368693983701-1,0.5004965040849269
298588617408091622511,0.46975218328416174
-67500515550577417381-1,0.545416276546609
-79010373949786271351-1,0.607239365519243
86341034479781015391-1,0.7002047576548491
15548495253312838821-1,0.8743719244218204
-279883278101835576911,0.935529121792
-19588636698616972551-1,1
-27988327810183557691-1,0.8525109164340339
155484952533128388211,0.8992144345192501
29858861740809162251-1,0.4246233811432762
-91955823686939837011,0.5519510653358808
23191345380927154251-1,0.33440677607317243
792957621939994800311,0.2786965232691722
-299873205150630541511,0.3285735217623782
17260046050831197331-1,0.3359040418164277
23337077653289508551-1,0.39104076528443055
-27079232622620250731-1,0.4478499892366456
-1761708150913477965-11,0.3994721723226522
7360668257689529765-11,0.421670473842688
-983978861406699341-11,0.5
63948544823576170531-1,0.43261824000000004
-84591170383119892341-1,0.414432
88343213220552035961-1,0.5
3655999972114814107-11,0.18
4483750379400728162-11,0
8834321322055203596-11,0.35760000000000003
-9839788614066993411-1,0.43843783680000004
-2707923262262025073-11,0.24631653840704973
-29987320515063054151-1,0.28014545629587695
210466841575601962-11,0.2540785632788962
-56157897097721938771-1,0.2712705904078855
47894100323917667551-1,0.3189522947139333
-35073881597030319541-1,0.371964711040892
-14725282764176614681-1,0.4307858661861423
48807659483268983451-1,0.5004264486607082
-27748607776115141631-1,0.5805563823414761
-35617980075835753301-1,0.668709444867354
18181148487608422841-1,0.765609854067481
88288982213399209631-1,0.8749987140288248
5816091842786773165-11,0.47358899200000004
2857300328970491307-11,0.5565246435328
-84744839514932539201-1,1
28573003289704913071-1,0.8643450307139299
8828898221339920963-11,0.459488
2104668415756019621-1,0.2187783434928971
3960048543735474136-11,0.27473252611628657
4662826889865513317-11,0.4227314394774759
14760112957925638851-1,0.29518397630491094
82042069785832640641-1,0.33004903217911724
10664897674275532071-1,0.35555243453984225
-79545057768972205361-1,0.3855955131156455
-4535496804208341364-11,0.5
-32045722453260918691-1,0.4653074935808
-25592635329641830881-1,0.44430986240000003
-28551437744629012271-1,0.5
-120553789426302765911,0.5
70902562914071197561-1,0.59648128
30620821753814836991-1,0.745220864
53855568361425472271-1,1
-12055378942630276591-1,0.471776
-285514377446290122711,0.45096832
-45354968042083413641-1,0.44149732990976
-7954505776897220536-11,0.4412791455711232
46628268898655133171-1,0.3173316088151476
-588314323038540814211,0.3019578798290628
-11798126848158891521-1,0.3285365917357304
-629330916862003828011,0.39618545416566453
468147465002271110211,0.5
74697587434519023291-1,0.4412791455711232
-8149066851738720671-1,0.5
50860100251767685011,0.5
65034782220833844221-1,0.44430986240000003
-44704280173770358831-1,0.5
631854344073258538211,0.5
-9627993532055001351-1,0.5367999999999999
62826769871734802141-1,0.74
-58744385265960606451-1,1
63185434407325853821-1,0.471776
-447042801737703588311,0.45096832
5086010025176768501-1,0.442179155968
-81490668517387206711,0.44149732990976
46814746500227111021-1,0.4412093265827594
-117981268481588915211,0.26003675018597255
-58831432303854081421-1,0.2798178260193493
-87359689972042769811-1,0.44879531860351574
-1873560430421660761-11,0.4890780096997783
1529798658389741903-11,0.18
8266876768458374617-11,0
-8735968997204276981-11,0.2889703231783853
-4936193119745394734-11,0.4411798350420746
5299764332120434033-11,0.5
-87094511027671413591-1,0.4412093265827594
-924519338522982431-1,0.4412791455711232
-26499533721862937811-1,0.44149732990976
76627060924001606931-1,0.442179155968
41913894975182814381-1,0.5
6052931328170709360-11,0.5
-69641075602020235451-1,0.5
415019600551628655111,0.5
48426173727084751851-1,0.74
-3397752418385237141-1,1
41501960055162865511-1,0.5367999999999999
-696410756020202354511,0.471776
60529313281707093601-1,0.45096832
4191389497518281438-11,0.44430986240000003
52997643321204340331-1,0.441186984506483
-1675988304997571325-11,0.30783863760919844
21046684157560196211,0.26729321684134544
328590452718175162211,0.5
6850909549756568235-11,0.5
61629837885809626711-1,0.44119613244322614
2829079211178963071-1,0.39057485293171507
-24244159561076066031-1,0.39322532687708156
-22562388810999867111-1,0.40095722840063996
-16207164763562490771-1,0.42370409472
-53481659455073475681-1,0.4506422784
28341328254820189011,0.5
49511533715239161181-1,0.5
-43834579732208151411,0.7
-76968929948732909881-1,1
-4383457973220815141-1,0.62
495115337152391611811,0.4984
2834132825482018901-1,0.459488
-534816594550734756811,0.44703616
68509095497565682351-1,0.4411827623818324
3285904527181751622-11,0.28613911625830446
223829948980542684511,0.33475051170021725
-27204835674977390031-1,0.342152132922189
-662525036960917265111,0.4641800646656
-6649030063819136941-1,0.5
-127558045832567011-11,0.5
31350943191542968501-1,0.44070276096
-18377460503519878791-1,0.5
-686681658869015325811,0.5
62807182095094950981-1,0.42672
-91908351048616501181-1,0.26256
-65602912474797461261-1,0.7208
-541550681784674230111,0
-656029124747974612611,0.3
-68668165886901532581-1,0.4365504
-183774605035198787911,0.439696128
-1275580458325670111-1,0.44102488350720004
-664903006381913694-11,0.44112796272230403
-66252503696091726511-1,0.4059205409203238
-272048356749773900311,0.27835666521255736
22382994898054268451-1,0.2742617246821402
-893440092003232739911,0.40044977520192154
-4374122671028950411-1,0.4016139749845749
-7776352983447687301-11,0.35760000000000003
6136563956296358510-11,0.18
2828682024273754778-11,0
-437412267102895041-11,0.37350657810432003
-89344009200323273991-1,0.32073358005116764
-630178052060326250011,0.32300568871079816
66684539075228361541-1,0.33385625029330396
5810432212151157899-11,0.3846603282843089
-55366722058263626581-1,0.33133446995798654
-7021764488902472051-1,0.34529901589202366
-289982420996253155911,0.44149732990976
-770009599395271346311,0.5
46790131711189726701-1,0.5
-492524528137872688711,0.5
72278142544601449531-1,0.471776
-63725209053951731051-1,0.5367999999999999
-87966949628161210211-1,0.764
9937741589184499721-1,1
-49252452813787268871-1,0.45096832
467901317111897267011,0.44430986240000003
-77000959939527134631-1,0.442179155968
-70217644889024720511,0.2283652727093802
58104322121511578991-1,0.31792824623395977
6668453907522836154-11,0.3053649124412023
-63017805206032625001-1,0.28479459580936656
8430671474145916257-11,0.3217567105830622
-6208911130518914601-11,0.4150441589925862
-30400784403517973381-1,0.369994585682933
-47941045695819919821-1,0.4321798770607084
-406532343650831552011,0.47722062848
46187849621740429261-1,0.401884350464
20016344640288970361-1,0.4221784576
-85404999240719749091-1,0.465188096
-11472035558956589081-1,0.64407341572096
840897802399667255911,0.7
63318448931582607421-1,1
84089780239966725591-1,0.8340032000000001
-114720355589565890811,0.4712
-40653234365083155201-1,0.39366889381888
-479410456958199198211,0.3632234159754445
-62089111305189146011-1,0.34275515524339784
8221842070861695364-11,0.2340562919584047
874859548842400110211,0.27749565790768027
-32325466936213621841-1,0.2942555396298883
