board_hash,value
('254.04.0-11', 3),0.9499999999999998
('354.04.011', 1),0.77366846255
('253.05.0-11', 3),0.9499999999999998
('353.05.0-11', 1),0.8883260427459744
('354.04.0-11', 1),0.880095467879936
('253.05.0-11', 1),0.9499999999999998
('354.04.0-11', 3),0.9024910854053341
('255.03.0-1-1', 1),0.7989435705224794
('353.05.0-11', 3),0.9003076757814275
('254.04.0-1-1', 1),0.83729528638007
('254.04.0-11', 1),0.9499994152933484
('456.02.0-1-1', 1),1.255943686872293e-32
('355.03.0-1-1', 3),7.116871493336012e-12
('456.02.01-1', 1),0.0588245
('355.03.01-1', 3),0.029087566298278196
('455.03.01-1', 1),5.183896538159428e-10
('355.03.01-1', 1),2.9449511527919013e-06
('253.05.01-1', 3),0.7310176263441199
('353.05.011', 1),0.8100258797556424
('455.03.01-1', 4),0.245
('253.05.01-1', 1),0.8434830510328862
('353511', 3),0.7686163059748494
('455.03.01-1', 2),0.006920643600500001
('355.03.01-1', 4),0.3735137204918796
('254.04.01-1', 1),0.8381531774417296
('255.03.0-1-1', 2),0.855820709500767
('352.06.0-11', 4),0.12605007153419684
('453.05.0-11', 1),0.17213369741919715
('355.03.0-1-1', 1),0.01053646152183767
('453.05.0-11', 3),0.19766890694201866
('354.04.0-1-1', 1),0.0036753760137484812
('3544-11', 1),0.8735363234371514
('352.06.0-11', 2),0.09012919110423251
('454.04.01-1', 0),5e-324
('353.05.01-1', 3),0.001784117386201285
('452.06.011', 0),0.08642302452819342
('354.04.01-1', 3),0.0015024385795107454
('451.07.011', 4),0.054425163000424936
('452.06.011', 1),0.09780588724409178
('253.05.0-1-1', 1),0.11827837942950671
('352.06.0-11', 1),0.13813983615770442
('253.05.0-1-1', 3),0.13101200953824307
('451.07.011', 3),0.009908854915713507
('353.05.01-1', 2),0.022984400797820846
('353.05.01-1', 0),0.008870972454697411
('353.05.01-1', 4),0.0710926774120409
('353.05.01-1', 1),0.005463858373018682
('451.07.011', 1),0.011808520636279393
('352.06.01-1', 2),0.0014729899752348855
('452.06.0-11', 4),0.014477524063700668
('352.06.0-11', 3),0.148122039913193
('254.04.01-1', 0),0.5777444447287807
('352.06.011', 3),0.7630681222828206
('256.02.01-1', 3),0.7135289267753829
('353.05.011', 3),0.7751022748651935
('255.03.0-1-1', 0),0.8550663393502151
('455.03.0-11', 0),0.8530798512796225
('254.04.0-1-1', 0),0.8483772052313117
('353.05.0-11', 2),0.8651840029065045
('454.04.0-11', 3),0.8558197507243468
('253.05.0-1-1', 0),0.15598707017057942
('351.07.0-11', 3),0.2472663663716446
('257.01.0-1-1', 3),0.28191934062154234
('255.03.0-1-1', 3),0.8524118978692321
('455.03.0-11', 3),0.8568470984901357
('352.06.0-11', 0),0.1304592437161402
('352.06.01-1', 4),0.0023203677311761043
('452.06.0-11', 3),0.0009753960985791515
('353.05.0-1-1', 1),0.05652211745484513
('451.07.0-11', 1),0.0017796863111271704
('356.02.0-1-1', 2),0.2854536542733657
('253.05.0-1-1', 2),0.09079773197547081
('454.04.0-1-1', 1),0.004844450520350001
('352.06.0-1-1', 1),0.001452724910813162
('451.07.0-11', 2),0.0020741691708751173
('352.06.0-1-1', 3),0.002070644589438486
('356.02.0-1-1', 0),0.01336895337593728
('454.04.0-11', 1),0.8418924037088352
('453.05.0-1-1', 1),1.0250257257847761e-11
('354.04.01-1', 1),0.3429341318616672
('453.05.01-1', 3),4.609740682848614e-119
('354.04.0-11', 4),0.89945579798149
('455.03.0-11', 1),0.8449788454295339
('353.05.0-11', 4),0.9024943477536289
('355.03.0-1-1', 4),0.21037967536736685
('455.03.0-11', 4),0.7467307774031111
('354.04.01-1', 4),0.6356227460078403
('453.05.01-1', 0),4.269161706725431e-11
('352.06.01-1', 1),0.0003192380931238679
('452.06.0-11', 1),0.0006758012875357483
('356.02.0-1-1', 1),0.008234057642917297
('354.04.0-11', 0),0.9024999999999994
('356.02.01-1', 1),0.02791493361116059
('353.05.0-11', 0),0.9024353757315636
('457.01.0-1-1', 1),4.136348530320862e-13
('454.04.01-1', 4),0.12004999999999999
('354.04.01-1', 2),0.2475917641772841
('357.01.01-1', 1),0.24796276257745914
('254.04.01-1', 4),0.6835725167314342
('255.03.01-1', 1),0.8125068553552807
('353.05.011', 0),0.723895416261874
('355.03.01-1', 0),0.0067443821939895746
('253.05.01-1', 2),0.8371934857660118
('451.07.0-11', 0),0.0029030281160631207
('352.06.0-1-1', 2),0.0015210626489587055
('451.07.0-11', 4),0.0443484913028384
('351.07.0-11', 1),0.25694726506770765
('453.05.0-11', 0),0.1944194194686637
('356.02.01-1', 3),0.0010710747603992288
('255.03.01-1', 3),0.8348597838980935
('454.04.0-11', 0),0.8514952534910178
('354.04.0-1-1', 2),0.2019187821609861
('253.05.0-1-1', 4),0.16036555759238783
('354.04.0-11', 2),0.9010095664359322
('453.05.011', 1),0.8500727464615163
('253.05.01-1', 0),0.8534393908050522
('353.05.011', 4),0.7980289570260746
('353.05.011', 2),0.7938944859348697
('453.05.01-1', 1),1.1018117689895922e-29
('352.06.01-1', 0),7.874312637664425e-07
('352.06.0-1-1', 0),0.0021546282217766153
('357.01.0-1-1', 1),0.7275436550860981
('355.03.0-1-1', 0),1.35265114864692e-06
('453.05.0-11', 2),0.1630466571561733
('452.06.01-1', 1),0.009886633715
('354.04.0-1-1', 0),0.002504802513970727
('353.05.0-1-1', 4),0.2452062258961978
('452.06.0-11', 0),0.0010241409234373136
('354.04.0-1-1', 3),0.0032833796386878807
('352.06.01-1', 3),0.0009569919217626104
('355.03.0-1-1', 2),0.14589058114264297
('454.04.0-11', 4),0.7268556620968598
('457.01.01-1', 0),1.5250493136026815e-31
('3544-11', 0),0.9024765416959183
('456.02.0-1-1', 3),3.500006564438895e-159
('451.07.011', 0),0.01694975519052194
('454.04.01-1', 2),1.0250257257847761e-11
('355.03.01-1', 2),0.0027722773350485033
('454.04.011', 1),0.8413140538296268
('454.04.0-11', 2),0.8429295796752176
('453.05.0-11', 4),0.21029862870549784
