board_hash,value
('-7601028675009183795-11', 1),0.3
('-90885780771282600431-1', 0),0.396
('26511118371703014401-1', 0),0.42672
('16449866315714922481-1', 1),0.4365504
('3527962352759348327-11', 1),0.3
('3442791131376870163-11', 1),0.396
('52679398028583491581-1', 0),0.42672
('21584352993309025441-1', 1),0.4365504
('-16397695401854716211-1', 1),0.439696128
('-1792056014680775962-11', 0),0.44070276096
('5556503527636464563-11', 0),0.44102488350720004
('-43081967048201226121-1', 1),0.44112796272230403
('-8388319925455678846-11', 1),0.3
('-20586940819908678091-1', 0),0.396
('-178612268702351283111', 2),0.42672
('48009237990314988151-1', 0),0.4365504
('236860505275351104311', 1),0.439696128
('84465047187365438851-1', 0),0.44070276096
('-68066634947437885211-1', 1),0.44102488350720004
('-61868998223055159281-1', 1),0.44112796272230403
('13745267365563289641-1', 0),0.4411609480711373
('4525123404999114138-11', 1),0.44117150338276395
('8406920178472936355-11', 1),0.40587643203225465
('-80095954261475563541-1', 0),0.19962915534759634
('11152226213943728151-1', 0),0.17965218544747283
('-5227580952119817858-11', 1),0.08395355332746082
('6002927476223229205-11', 1),0.3
('80479494850082937431-1', 1),0.47286400000000006
('64446041385525835241-1', 0),0.42672
('43915749139599801151-1', 1),0.4365504
('2511355863716400655-11', 0),0.439696128
('5285088853542428957-11', 1),0.360421656576
('-28955733772955052741-1', 0),0.2956602461926213
('36108077873700106441-1', 2),0.2697147672540623
('-83808250360725391291-1', 0),0.1688371096149708
('-5319663640331518036-11', 1),0.18771049778465815
('7384815156672633537-11', 0),0.12464613841923913
('5135660816578315021-1', 1),0.13401313055438446
('37464782756670354961-1', 1),0.10719931178528166
('-5227580952119817858-11', 0),0.08225319235014907
('23793422845514786381-1', 1),0.62
('66963343970838176701-1', 1),0.4984
('14882880828339598291-1', 1),0.459488
('-71399374157854871071-1', 0),0.44703616
('8208612418068357583-11', 1),0.4430515712
('-6116081394606349012-11', 0),0.441776502784
('-16975996016521147171-1', 1),0.3786004050366295
('-3340216041032619171-1', 0),0.3467554966442815
('-272048356749773900311', 2),0.40542044042593567
('22382994898054268451-1', 0),0.19744312385216103
