board_hash,value
354411,0.6708989212611083
253.05.011,0.9498959543438272
355.03.01-1,0.900183330287521
353.05.01-1,0.8333774726853096
453.05.01-1,7.546869068005655e-07
351.07.011,1.0683127376461385e-06
352.06.011,9.664294721147988e-06
454.04.01-1,9.701764991645806e-07
553.05.01-1,0
45531-1,0.0008983852300421635
353.05.0-11,1.1685258767375897e-06
252.06.0-11,8.238502348425462e-08
353.05.0-1-1,1.144712381007456e-07
355.03.0-1-1,1.9360860505472557e-07
457.01.0-1-1,0.021339284657224268
351.07.0-11,1.9812765598044776e-07
452.06.0-1-1,4.232150573171138e-07
553.05.0-1-1,0
3544-11,1.393394317685646e-07
455.03.01-1,7.267342105209263e-05
354.04.011,0.8984053034981103
556.02.01-1,0
554.04.01-1,0
555.03.01-1,0
353.05.011,0.5973360788747891
454.04.0-1-1,1.5982891596040408e-07
453.05.0-1-1,8.066451749490597e-08
354.04.0-1-1,2.410147938510098e-07
456.02.0-1-1,6.65277115329544e-05
455.03.0-1-1,5.4281290451493986e-08
352.06.0-11,1.0167280978442774e-06
452.06.01-1,1.2242864159257761e-06
2544-11,0.9489363324985215
354.04.0-11,0.0036330213526715293
355.03.0-11,0.0010029944049968385
253511,0.7302724022709892
45711-1,0.005639879805326703
153.05.0-11,1
457.01.01-1,0.03216919736503409
456.02.01-1,0.00044766838892834864
253.05.0-11,0.9335703209085983
356.02.0-1-1,0.0018056727740128975
554.04.0-1-1,0
254.04.011,0.9459299622850696
153.05.011,1
552.06.01-1,0
356.02.01-1,0.5847655657354309
252.06.011,0.6535891356468545
555.03.0-1-1,0
557.01.01-1,0
556.02.0-1-1,0
254.04.0-11,0.9499999567287422
354.04.01-1,0.8995233028329994
355.03.011,0.6386063695717935
45621-1,0.009891170960625743
357.01.0-1-1,0.038118990183382745
251.07.0-11,0.005176291444913772
356.02.0-11,0.03947829168825606
557.01.0-1-1,0
255.03.011,0.9370767573582499
358.00.01-1,0.4925
250.08.011,0.5055633096766428
458.00.01-1,0.02972799439865608
357.01.011,0.4925
251.07.011,0.4652591930276977
256.02.0-11,0.841955
152.06.0-11,1
350.08.011,0.010530226547417934
458.00.0-1-1,0.3827868592412108
350.08.0-11,0.17494400960340045
357.01.0-11,0.1522976887041111
255.03.0-11,0.8845874224974459
154.04.0-11,1
356.02.011,0.6637199162505395
558.00.01-1,0
558.00.0-1-1,0
357.01.01-1,0.5053968181800341
