board_hash,value
-522758095211981785811,0.9970314543128066
-45064451713283117411-1,0.9986299066294629
82218420708616953641-1,0.9995596128649749
79295762193999480031-1,0.9999119225740312
-87359689972042769811-1,0.9999917427413388
-1873560430421660761-11,0.6486573730652145
-9195582368693983701-1,0.9898928028850424
8072986521688774723-11,0.5238871654747341
-4411561061665654953-11,0.5
-21844292896340274761-1,0.5
-82758099880862885081-1,0.505312
69186127654591081581-1,0.6956297728
-58606881246586204371-1,0.9470582272
28163868989025307161-1,1
111522262139437281511,0.8982951280963132
-80095954261475563541-1,0.9598992871874387
84069201784729363551-1,0.9493901217586433
-783632004555026510511,0.460832
-91613545346364010391-1,0.49440128
-273924214192045602811,0
-1675988304997571325-11,0.5448886536875925
8566682432637068288-11,0.5
51758746301031545901-1,0.5
1342018396704309871-1,0.5
65635371042575579511-1,0.5
-899547793593369545511,0.5
-40630222264013771411,0.5
18806387447903242851-1,0.5
6059518958625855841-11,0.3
-6033244393992765845-11,0
-5227580952119817858-11,0.8960979499477951
1904676915978778090-11,0.7785137771103658
22177310649443975511-1,0.8660422890775256
73651377026624457961-1,0.9043831872134208
-903697482496206928411,0.5
-48441289678769698431-1,0.5
3567389785472703267-11,0.5
-27625273119210365501-1,0.5
16045976135637631901-1,0.5
-90485077446549878121-1,0.5
76327740633074294751-1,0.5
106040825748180942-11,0.5
-7551843344438026491-11,0.3
-517328398304611723-11,0
-991053533901044404-11,0.6469174265275663
4297490319825560032-11,0.5
57487730694225197171-1,0.5
-81792628339298428551-1,0.5
61481632873175277471-1,0.5
31856348672815683861-1,0.5
591983108795730254011,0.5
38776497728940591491-1,0.5
12831558764703105471-1,0.5
5812088250715742238-11,0.5
4937639044208775721-1,0.5
79554671749967245211-1,0.7
-15531324130521002911-1,1
228308959735210103911,0.8178652810949476
-58831432303854081421-1,0.841628939333112
-11798126848158891521-1,0.8711477522603037
26149864889065904011,0.452
37648517514497302451-1,0.428
590328893037042646211,0
-56454710420130083881-1,0.8881664312276075
-62524318672370952681-1,0.8998849563336829
-14768250326913060821-1,0.9185814340151341
576099941896982464611,0.5
-4843708822749777137-11,0.5
45356145953605792451-1,0.532
61350732847133576251-1,0.596
74383137723884974311,0.5
86682378367758738141-1,0.62
-20593279526188705121-1,1
-681463324647763494911,0.8524379558171667
72703356878585578911,0.5
65202904824030804851-1,0.5
-48843933667728180901-1,0.5
-425162941498822364511,0.5
-88775142761164183731-1,0.5
-22351670113401161471-1,0.5
-2661808620487876421-1,0.3
