board_hash,value
253.05.0-1,0.369785937008989
353.05.01,0.070153638886658
453.05.0-1,0.0017973523967974013
352.06.0-1,0.1200567161322399
451.07.0-1,0.026643627026891742
354.04.0-1,0.03822694499558649
452.06.0-1,0.021944563535059657
355.03.0-1,0.044943073836560835
255.03.0-1,0.08504462517771004
254.04.0-1,0.09551073523778883
454.04.01,5.459764801126747e-113
354.04.01,0.020164094746805722
451.07.01,0.008959594225480216
452.06.01,0.02728844541676122
355.03.01,0.017435599468615566
352.06.01,0.017286042233830984
353.05.0-1,0.20816886069756502
253.05.01,0.22395191786379634
457.01.0-1,0.03746058808252996
356.02.0-1,0.026904230538455417
453.05.01,5.275679686550856e-16
455.03.0-1,0.026455025729561467
454.04.0-1,0.08538403552534615
356.02.01,0.0073784429126276824
255.03.01,0.06708894054806451
456.02.01,0.0011528564063102665
457.01.01,3.285618118176715e-05
256.02.01,0.0650444214842911
35621,0.013243730622602127
357.01.0-1,0.04890025518541557
35711,0.015204086791058028
254.04.01,0.06885898401032993
456.02.0-1,0.015614519582242414
455.03.01,8.274511603591246e-10
450.08.01,0.027944197423790333
358.00.01,0.03563194429675142
351.07.0-1,0.1272293106636528
357.01.01,0.009052234834459895
256.02.0-1,0.0568823054899107
358.00.0-1,0.12117769266045358
35531,0.014521728170326863
3544-1,0.35855131858818423
35351,0.22926459773313393
458.00.01,0.01412376245
450.08.0-1,0.10184428139476027
257.01.0-1,0.1616533286367451
458.00.0-1,0.0588245
350.08.0-1,0.4013814231195287
258.00.0-1,0.4643937055890657
351.07.01,0.31869467789190364
257.01.01,0.41357343532427027
252.06.0-1,0.79565
