board_hash,value
-86943868784613604472.06.011,0.17149999999999999
21932792435297104651.07.011,0.29858278625
-43433083859887944341.07.011,0.37751333099374995
2763719064377304651.07.011,0.4288082719950148
53842479907447356363.05.011,0.35
74345972936503871862.06.011,0.44975
-43433083859887944342.06.011,0.47625606875
-86943868784613604473.05.011,0.35
-76346635712653956804.04.011,0.35
16430841594742229471.07.011,0.44975
17052102095236197851.07.011,0.47817875
24053130381942834021.07.011,0.4796448302810937
2763719064377304652611,0.48859006896875
78757605985933627454.04.0-1-1,0.35
-52050356535961642812.06.0-1-1,0.44975
77119539115177483814.04.0-1-1,0.47817875
64674906172494902782.06.0-1-1,0.5051107274410624
-44367721324056929452.06.011,0.48859006896875
74266646868687891832.06.0-1-1,0.9499999999999998
82716394839881630892.06.0-1-1,0.9024999999995958
-37870561100713306812.06.0-1-1,0.8237615319097178
-45880183921164241952.06.0-1-1,0.729552570377936
-43433083859887944341.07.0-1-1,0.7278834994906531
2763719064377304651.07.0-1-1,0.7737014799085211
24630288439315829611.07.0-1-1,0.8374562228607967
26410164116314553811.07.0-1-1,0.8422711011141057
17052102095236197851.07.0-1-1,0.8531999815855993
24053130381942834021.07.0-1-1,0.6936441184453319
2763719064377304653.05.0-1-1,0.7281886743378538
-41918518498268531792.06.0-1-1,0.6717103390791191
24630288439315829612.06.0-1-1,0.6493286133561861
53842479907447356363.05.0-1-1,0.04355251992825126
74345972936503871862.06.0-1-1,0.34866203861955836
21932792435297104651.07.0-1-1,0.015335148748012919
-43433083859887944342.06.0-1-1,0.01654926868783927
-90751751908354325231.07.0-1-1,0.8495243496916923
70885099455419356671.07.0-1-1,0.8262747485986895
3353868334133425461.07.0-1-1,0.8965932895483439
4782796062206697881.07.0-1-1,0.7968850891089669
-37296331457702316511.07.0-1-1,0.8144820115182116
23902523546220018581.07.0-1-1,0.9021121189906649
54325101442554325451.07.0-1-1,0.8120401969922346
44430575519807662721.07.0-1-1,0.7531401352677038
29281504316775041241.07.0-1-1,0.019915314968972475
2763719064377304656.02.0-1-1,0.022547689662637222
34847049488548011711.07.0-1-1,0.8158907461721794
30099904588404689674.04.0-1-1,0.009886633715
45920669049954183353.05.0-1-1,0.0009682147173910838
-76346635712653956803.05.0-1-1,0.2583088965744956
16430841594742229473.05.0-1-1,0.3835570358462923
17052102095236197852.06.0-1-1,0.0006212481385624727
50114693728657994871.07.0-1-1,0.8591514780226934
2763719064377304655.03.0-1-1,0.6775528730917719
28569740980623805792.06.0-1-1,1.3252591348330795e-05
-22165782455012710132.06.0-1-1,0.7012060404461476
-7595614336407206242.06.0-1-1,0.6204769885507666
12276402925015041531.07.0-1-1,0.6896130949997621
2763719064377304654.04.0-1-1,0.6995699678034134
91722014233616084022.06.0-1-1,0.8210900879304545
-58036932292195889302.06.0-1-1,0.7536408074246088
55898688770379293862.06.0-1-1,0.6956924574907484
61847751248396637771.07.0-1-1,0.7392685306473398
2763719064377304652.06.0-1-1,0.7227947294899756
45920669049954183355.03.0-1-1,0.17149999999999999
-40366871350956989102.06.0-1-1,0.0008441017305053503
16430841594742229471.07.0-1-1,0.0005693649522973349
30627215388869943771.07.0-1-1,0.9024999595845232
-79551219006480077841.07.0-1-1,0.8878619886056159
26410164116314553812.06.0-1-1,0.4366196948022743
6761799133453316681.07.0-1-1,0.8937279109541004
51632316451260050601.07.0-1-1,0.7987378778827751
12276402925015041533.05.0-1-1,0.4950660366875
64674906172494902785.03.0-1-1,0.35
-44367721324056929453.05.0-1-1,0.4497203511778437
24053130381942834022.06.0-1-1,0.7295387988734602
-40366871350956989104.04.0-1-1,0.3914431275125
13029055649097825172.06.0-1-1,0.7933813710311732
49055987097284213502.06.0-1-1,0.6730431040741809
34847049488548011712.06.0-1-1,0.501327875
69932501611660919521.07.0-1-1,0.7708564840549446
12040669454115276101.07.0-1-1,0.7610899706890342
-11994196788850545191.07.0-1-1,0.847696407714689
53842479907447356364.04.0-1-1,0.35
22496118916994902951.07.0-1-1,0.691625
40159584305627408021.07.0-1-1,0.8105019802842233
-36194972149494699451.07.0-1-1,0.5479690461683338
4469626874971286381.07.0-1-1,0.8249337144729433
-62798767243729704834.04.0-1-1,0.35
85373301035053304752.06.0-1-1,0.44975
7152828360105772082.06.0-1-1,0.9499983587415883
-47884265731151338312.06.0-1-1,0.8702919814422106
74345972936503871863.05.0-1-1,0.3861879538762438
68930914767905203180.08.0-1-1,0.949999999333499
52615763008970336670.08.0-1-1,0.8872649039079732
-36450843917801868533.05.0-1-1,0.011782425151688241
45015381231581683602.06.0-1-1,0.02943004313850335
-17227186706686336245.03.0-1-1,0.47817875
-44367721324056929452.06.0-1-1,0.8016003108058101
-17227186706686336243.05.0-1-1,0.17419276862347344
43464638441745209371.07.0-1-1,0.841955
78613909810777220941.07.0-1-1,0.8574672599767058
11727858460981178921.07.0-1-1,0.7417198716924691
-36194972149494699453.05.0-1-1,0.6446620553625193
-17227186706686336244.04.0-1-1,0.42321849500000003
10129788105702557441.07.0-1-1,0.7739881744174419
-47235934662195965004.04.0-1-1,0.0588245
-277009888321249633.05.0-1-1,0.159414395
-277009888321249632.06.0-1-1,0.7772890376149875
50114693728657994872.06.0-1-1,0.7286135427695585
80870045713591676074.04.0-1-1,1.464322465406823e-11
33277535970083078602.06.0-1-1,3.3483792239918797e-07
31597246445500938081.07.0-1-1,0.0013912199383515865
21932792435297104652.06.0-1-1,0.41687018520445007
29281504316775041242.06.0-1-1,0.3971377043110357
-27484091162095423854.04.0-1-1,0.245
70786140917910814352.06.0-1-1,0.38465
-37870561100713306813.05.0-1-1,0.47817875
-82336975823367748561.07.0-1-1,0.8573749999999314
79676006638152901650.08.0-1-1,0.9021807711171839
