board_hash,value
31506011986209909311-1,0.7989116088320001
97121573649226762011,0.57994660864
157888658626930460211,0.6041174626332082
24120589056069540831-1,0.5858723561223071
-207255877921820407711,0.5973728964574709
-82213476728481776661-1,0.511155835799723
-66159755232283661901-1,0.40774617936431024
-19084690404117248721-1,0.3247220276640327
-3855112065598290131-1,0.25715596951924713
-32370501024656178361-1,0.20348862340691432
792957621939994800311,0.16549795306372272
82218420708616953641-1,0.16777215037735985
-45064451713283117411-1,0.13421769337035083
-52275809521198178581-1,0.10737408035438151
-223263517169632906111,0.3
216815376120887722411,0.396
18683919892026290271-1,0.36897721344
71757827415960869021-1,0.34417296482304
31757501558774721961-1,0.322284012969001
-36827910209963201051-1,0.295731583204275
-53196636403315180361-1,0.2906920495775333
57314142926129066671-1,0.28766359446782963
51356608165783150211,0.25471350339698673
37464782756670354961-1,0.08519089363170423
-522758095211981785811,0.07652433510531764
-5716451926688947851-1,0.7981860147200001
64581309861916032311,0.10765439999999998
-14412874804978537721-1,0.540665841664
-4068791490440565932-11,0.5418861615251038
48826256581704464651-1,0.46190277438405974
-4696580817328620611-11,0.4236358512016113
25560498030257089141-1,0.4089113659315235
-5908546268515660528-11,0.3208927784674485
71416006106044561311-1,0.3276799999770542
-87359689972042769811-1,0.2621439996991202
79295762193999480031-1,0.20971519794468427
98608492955108342011,0.3
-59251978024384055521-1,0.35440764313600004
-5182973683094084741-1,0.42672
-91303194214043631021-1,0.4365504
-59358839572489692421-1,0.439696128
1289536897843687330-11,0.29973374638738637
64485845983071732831-1,0.26633644603481177
396004854373547413611,0.27831369025479363
-7664613060059829152-11,0.3
1115222621394372815-11,0.29155504482241834
643812141497626850711,0.3
-22327933724510923501-1,0.48304
-52128249631053716811,0.42672
86929738972847329511-1,0.4365504
-9117588843104526279-11,0.40036807680000003
14989541247166094771-1,0.28469706541634354
-919558236869398370-11,0.22251849777147015
7141600610604456131-11,0.23729215816401034
-89625311116656821121-1,0.76112
19759441611435867891-1,0.4984
-56083791783523363451-1,0.459488
77489309117934510531-1,0.44703616
-5379131080493500891-11,0.4430515712
7114976973548424802-11,0.40161630167039997
-183064118334798561111,0.2633272218869067
7389824942223534601-1,0.25781864327884224
