board_hash,value
-50360476595867554471.07.01,0.6799999999999999
6785708381867500901.07.01,0.5584
79559950970148003630.08.01,0.512192
-13598441728204751861.07.01,0.482204775424
-55168046803149368830.08.01,0.47601412954112
71737875575580510210.08.01,0.4721403688800256
-12763049602104102491.07.01,0.4700902400430817
36939381869302782050.08.01,0.46909151316646636
-1742009463651880640.08.01,0.46862851934429345
-36416626244747129410.08.01,0.4684208602004253
39961939298290322440.08.01,0.4683298955590072
-76768874787413813202.06.0-1,0.6799999999999999
-25715941116354299041.07.0-1,0.5584
26845794926798968441.07.0-1,0.512192
34215890400457056960.08.0-1,0.49463296
79559950970148003631.07.0-1,0.4879605248
-80761685086244785390.08.0-1,0.0648
70582651998450593120.08.0-1,0.11138342400000001
-87644695283420901600.08.0-1,0.19159954048514752
-16936772734638342881.07.0-1,0.20930381401147297
83539700425248111061.07.0-1,0.16467017332685552
-36416626244747129410.08.0-1,0.11474052349414723
39961939298290322440.08.0-1,0.14776540707801242
-67400542344400391200.08.0-1,0.014823977287679996
-89032535944921488610.08.0-1,0.11806952601599999
-89949050375415167201.07.0-1,0.19125054719999998
-14303839105116707991.07.0-1,0.26669019743284117
25187536015919514981.07.0-1,0.24966482250957253
35168006103938372600.08.0-1,0.16081823160658915
39961939298290322443.05.0-1,0.15930216684478046
59285882406270685290.08.0-1,0.03888
-38316294523823045930.08.0-1,0.26115206399999996
-87644695283420901601.07.0-1,0.306734814782079
16034816990854730280.08.0-1,0.0648
-90947637569059132310.08.0-1,0.31679999999999997
-36530959630021919920.08.0-1,0.39477599999999996
-23186431268804747940.08.0-1,0.3693649536
10106795598971758541.07.0-1,0.228544042589867
39776237040215393491.07.0-1,0.24875634960782184
-4446651066428338330.08.0-1,0.03888
-57493100527480074650.08.0-1,0.07518931373535068
-50641511382501383050.08.0-1,0.10683700269926437
-83622359733216921440.08.0-1,0.11326318742687057
41708876006942816210.08.0-1,0.1253512250033675
68081973149792138290.08.0-1,0.12856670748930096
39961939298290322441.07.0-1,0.11534287910319226
-13082246795406280900.08.0-1,0.10557925489385567
16321639829156567940.08.0-1,0.0979776
-35302113984287634571.07.0-1,0.22454086783426908
54961052095683878471.07.0-1,0.1484781357241025
7874911760478095500.08.0-1,0.11760292310087406
-43049299779923868820.08.0-1,0.012697896959999996
84878755043504883280.08.0-1,0.05015772315647998
-70126238982753136010.08.0-1,0.45732
-89032535944921488611.07.0-1,0.3
-75108673981839850580.08.0-1,0.017003740959538462
62662213076434480690.08.0-1,0.05491358543027243
-52800530438272614790.08.0-1,0.11329788217577239
14681797940904237780.08.0-1,0.09772766574099225
-23593264459001979680.08.0-1,0.11860683535816399
-25709851609980071090.08.0-1,0.16125651643322148
-40762212899468750250.08.0-1,0.24734911684835095
-53440051540835270781.07.0-1,0.2544848367237214
-58705589587784025862.06.0-1,0.17374176442390932
39961939298290322442.06.0-1,0.11737704200119317
27682398531101605390.08.0-1,0.06476537519547679
25883213713945806840.08.0-1,0.10021360244968935
-46113195860968881330.08.0-1,0.11443946563238636
-84233136283214494060.08.0-1,0.11364763606229884
2617278558141349300.08.0-1,0.13004648486508188
-7683523034912062520.08.0-1,0.18583716375414278
25430421150986273420.08.0-1,0.052804321487628245
89759809509295705881.07.0-1,0.2781397095936
-62966661759273097301.07.0-1,0.13642753556073048
-91271544107469238971.07.0-1,0.1297668074871001
16236331303060232731.07.0-1,0.0006215323068334078
20321209763136632641.07.0-1,0.006702777236258178
87467640755650792670.08.0-1,0.13398478109988513
74076343152373749070.08.0-1,0.12553294046078256
-19842532535106885800.08.0-1,0.11201466051320633
-3724663885271238540.08.0-1,0.11710252057459561
76943659925735828520.08.0-1,0.1314363718892291
-82513131680233764010.08.0-1,0.14313941376
54737521254778295280.08.0-1,0.0770989139531347
67383193891414201600.08.0-1,0.11897287320634482
-51376369552973264880.08.0-1,0.2570022470725811
-66376382854200719220.08.0-1,0.108
31071301921756852840.08.0-1,0.23112
-86262193125140309801.07.0-1,0.32469119999999996
5603047256671710651.07.0-1,0.38395295999999995
6181568289474632700.08.0-1,0.41773216319999995
-35302113984287634572.06.0-1,0.43570269930239997
15977196298074289470.08.0-1,0.01780616720055521
86075435771353387470.08.0-1,0.08140746395342471
