board_hash,value
35441,5.938262590634941e-06
2544-1,0.9159938792885066
357.01.0-1,0.0030480953854592797
252.06.0-1,5.7919424352184555e-05
353.05.0-1,1.5249484321423274e-05
355.03.0-1,2.2925042701407577e-05
455.03.01,2.7330573000728226e-06
351.07.01,3.4002737152279445e-06
454.04.01,5.086242296647959e-07
453.05.01,2.3941627369737984e-06
553.05.01,0
353.05.01,3.3508924847760438e-06
451.07.01,2.6141945613218433e-06
354.04.01,2.843831065440311e-06
355.03.01,5.813443481291234e-06
255.03.0-1,8.486402520079965e-05
352.06.0-1,0.0001284698746822232
253.05.0-1,5.695980311920569e-05
257.01.0-1,0.028024339920921203
3544-1,5.001015440280547e-05
456.02.01,6.657916250977085e-05
557.01.01,0
457.01.01,9.577838789072563e-05
356.02.01,9.652110407905017e-05
253.05.01,5.411891239477361e-06
554.04.01,0
45621,1.3087406601311661e-05
153.05.0-1,1
35621,4.646970522134919e-05
455.03.0-1,0.000102075881237047
351.07.0-1,9.180746151861956e-06
452.06.0-1,5.882527592429675e-06
553.05.0-1,0
453.05.0-1,3.2864056768499016e-05
451.07.0-1,1.0466491770693006e-05
352.06.01,3.101980393445926e-06
354.04.0-1,0.0001062822072171151
456.02.0-1,0.00034173342338640654
452.06.01,7.0241132244654725e-06
356.02.0-1,0.0010053361182935203
254.04.0-1,0.00025551054567746624
454.04.0-1,2.8829546171515713e-05
555.03.0-1,0
555.03.01,0
255.03.01,3.360032871288212e-05
154.04.0-1,1
254.04.01,0.00012961478360533352
256.02.01,0.00031078910373856956
252.06.01,7.629531100664133e-05
556.02.01,0
153.05.01,1
45711,0.00014498726959520555
35711,0.00032748561479230065
556.02.0-1,0
554.04.0-1,0
25351,0.0003211433478696008
35351,0.0005196295585781849
45531,4.361775965784334e-05
35531,0.00020694062586499055
552.06.01,0
357.01.01,0.0001199142814642624
457.01.0-1,0.000877217475365098
558.00.01,0
458.00.01,0.001954033798291005
256.02.0-1,0.027326828148812397
251.07.0-1,0.019220870344680147
358.00.01,0.002877833727292266
557.01.0-1,0
152.06.0-1,1
350.08.01,0.0003409453903685418
450.08.01,0.0012889181575232941
558.00.0-1,0
458.00.0-1,0.17868090099213807
358.00.0-1,0.305111938743896
251.07.01,0.08989236742701864
257.01.01,0.07695066640744766
