board_hash,value
-522758095211981785811,0.01654337244408987
-45064451713283117411-1,0.00013205944931702168
-681463324647763494911,0.07104852832977065
42557851957942614641-1,0.061787522198639644
53368743077622435341-1,0.05259420490043634
-172510395770010039411,0.45313594848318905
-8463122249011131346-11,0.40342756990976003
-4424655017546873625-11,0.5
22680878665612203271-1,0.3819098624
89407970760663162321-1,0.38
9081077829779286372-11,0
8940797076066316232-11,0.3
-44246550175468736251-1,0.42672
-1725103957700100394-11,0.439696128
533687430776224353411,0.2901655111147241
-68146332464776349491-1,0.061144596540637426
-450644517132831174111,0.12040935223021859
-52275809521198178581-1,0.00021413589542591897
-5227580952119817858-11,0.000358175526408964
82218420708616953641-1,0.00010391921820866322
79295762193999480031-1,8.000717438538356e-05
-87359689972042769811-1,6.029151525199021e-05
-187356043042166076111,0.03393398101228352
-9195582368693983701-1,5.675272570032399e-07
25560498030257089141-1,2.9217052031601848e-06
-3873807539024439087-11,0.6333687001524635
-45903766709710437391-1,0.7669815476321639
791343772134972121511,0.778636539170551
48681958099293509781-1,0.8730700237494651
4481981640471828611-1,1
79134377213497212151-1,0.7406973858003755
-459037667097104373911,0.6281846492974771
-38738075390244390871-1,0.5987595323621508
2556049803025708914-11,5.074566481593729e-08
-18735604304216607611-1,0.011698638102764846
-873596899720427698111,0.22292094100733068
221773106494439755111,0.10869884909799564
-690295264398609218011,0.3901600644668651
-60824565998902657741-1,0.3307162707227751
307389406636494755011,0.5
23642573302363983011-1,0.5
659974564482792036311,0.5
61184106574383202591-1,0.44430986240000003
-58336968867069024051-1,0.45096832
-87036503465498399791-1,0.5162782208000001
-63794117948191910191-1,0.7363052032
-79511702751805703301-1,0.86870144
29218466904904626361-1,1
65997456448279203631-1,0.442179155968
236425733023639830111,0.44149732990976
30738940663649475501-1,0.4412791455711232
-608245659989026577411,0.3981496955702831
-69029526439860921801-1,0.3079397210990573
49269954878938854211,0.1858238390477058
-18630741741178045881-1,0.2042756972378365
4384910963713296873-11,0.4412295850845012
5397523121447718314-11,0.44112796272230403
-6164798870385718118-11,0.5
87444070556844649831-1,0.44070276096
-2654168758569031451-1,0.439696128
51645737294004800101-1,0.4365504
14166037448034517911-1,0.5
1381508709385617820-11,0.5
-8947025143472573971-1,0.3
760576744948922736711,0
-89470251434725739711,0.3
13815087093856178201-1,0.396
1416603744803451791-11,0.42672
-61647988703857181181-1,0.44102488350720004
-1863074174117804588-11,0.28036030354672326
4926995487893885421-1,0.17254160530576262
-1873560430421660761-11,0.006793699919570753
8470565118444402632-11,0.31323426875988486
285434079535604824-11,0.5
43926643929589026001-1,0.4408969143123706
-909294326483955040-11,0.5
-67309832212780769001-1,0.45096832
39960223253189981121-1,0.5
-733960741908538934111,0.5
-43692900034701325401-1,0.7784
27046664904220212261-1,1
-73396074190853893411-1,0.5367999999999999
399602232531899811211,0.471776
-9092943264839550401-1,0.44430986240000003
4392664392958902600-11,0.442179155968
2854340795356048241-1,0.4059854105258146
-8735968997204276981-11,0.015852811034026002
527997278767435502211,0.13981204883839946
-7327288845510588191-1,0.1393250662792986
