board_hash,value
('-40631148855372007471-1', 0),0.62
('-3124206348621439211-1', 4),0.4984
('313032186878639546911', 0),0.459488
('46818788999509565941-1', 0),0.44703616
('560209792750490077211', 1),0.4430515712
('-70386718025954319711-1', 0),0.441776502784
('14196527716159821481-1', 4),0.44136848089088
('-437412267102895041-11', 0),0.4412379138850816
('-89344009200323273991-1', 0),0.1572750951874198
('-189986683208565291811', 0),0.3
('875154880342206625511', 0),0.38463616
('71690776598375743161-1', 3),0.42672
('-24437229963326040821-1', 0),0.3666738065408
('-41342312370034030151-1', 0),0.439696128
('-313847808849730272211', 0),0.44070276096
('30368586470761286611', 0),0.33077506499657494
('792957621939994800311', 4),0.2286988260487507
('82218420708616953641-1', 0),0.0002954456541129154
('-45064451713283117411-1', 0),0.00046469020029974535
('-52275809521198178581-1', 1),0.0072635902791311
('33906394421547091631-1', 0),0.62
('38539519651338136451-1', 0),0.4984
('-80106023458622787331-1', 3),0.459488
('64066314130286551761-1', 0),0.44703616
('610192337067712301811', 0),0.4430515712
('-536690068868882172111', 1),0.441776502784
('-5751537127555925151-1', 0),0.28220093290225057
('41363750603497628171-1', 0),0.2634842154630632
('44266311800668235931-1', 0),0.2527936216432937
('-519786186743432202-11', 3),0.4411827623818324
('822184207086169536411', 0),0.08226336539489956
('-52275809521198178581-1', 0),0.000645806417437495
('659969515345699872611', 0),0.3
('-40606312476980925741-1', 0),0.396
('-454640135502883617811', 3),0.42672
('-42727510423136273681-1', 0),0.35793024
('-52178219996500775511-1', 2),0.439696128
('-186307417411780458811', 0),0.31490637188949466
('4926995487893885421-1', 0),0.06587727891991994
('-450644517132831174111', 0),0.06286208366869535
('-52275809521198178581-1', 3),0.009358671451883124
('22376778228958625911', 0),0.3
('33073618496015837031-1', 0),0.396
('-45794842602612594491-1', 1),0.42672
('22393632500954971011-1', 0),0.4365504
('-713509604336242294-11', 2),0.439696128
('68702062652965834481-1', 0),0.36838493940374495
('46590351484290024401-1', 0),0.3732366277466894
('-147007844752328975711', 3),0.40585308545622883
('-522758095211981785811', 0),0.06402183446747968
('-75572203692249780911', 2),0.3
('-457030051181948729311', 0),0.396
('-15906814170142727301-1', 3),0.42672
('698958103976948150611', 0),0.395190532096
('78842715973866970381-1', 0),0.3292577833163854
('-50691138146425863261-1', 0),0.44070276096
('14458805048864228341-1', 0),0.44102488350720004
