board_hash,value
('455.03.01', 0),1.8481524553417354e-14
('354.04.01', 4),0.0004487481105338904
('451.07.01', 1),0.0001738544752001688
('353.05.01', 1),0.00016101892637846086
('453.05.01', 0),1.1913505625544657e-08
('353.05.01', 4),0.00032000432440530176
('253.05.01', 1),0.0002782578480968995
('453.05.01', 2),3.0506246823106715e-10
('451.07.01', 0),0.00015879678753854344
('353.05.01', 3),0.0001792431161491009
('452.06.01', 1),0.0006588399620315882
('454.04.01', 0),5e-324
('451.07.01', 6),0.0013656015438773216
('353.05.01', 2),0.0001584627552591997
('353.05.01', 0),0.0001672344198059991
('451.07.01', 3),0.00016342495862820602
('354.04.01', 1),0.0002990943179952778
('451.07.01', 4),0.00040164287086639366
('454.04.0-1', 1),0.00238551463825752
('353.05.0-1', 0),0.006461867434701513
('451.07.0-1', 1),0.005584500419037299
('352.06.0-1', 0),0.003065479254978575
('451.07.0-1', 3),0.005446500531550909
('352.06.0-1', 6),0.007809466581389915
('451.07.0-1', 2),0.0061012651240198645
('352.06.0-1', 1),0.0027403385391401025
('451.07.0-1', 0),0.005629873639031923
('352.06.0-1', 3),0.003060399688683954
('355.03.0-1', 3),0.002559495839934943
('253.05.0-1', 0),0.0023398121192636295
('352.06.0-1', 4),0.006746419266209122
('253.05.0-1', 1),0.003483168599695746
('452.06.0-1', 1),0.001061600940825931
('354.04.0-1', 6),0.38797044773287237
('253.05.0-1', 2),0.0036467572603927187
('254.04.0-1', 0),0.011635747876637542
('453.05.0-1', 1),0.005709393051679604
('352.06.0-1', 2),0.0033413975726628935
('354.04.0-1', 1),0.0051599784301754135
('353.05.01', 6),0.0024350347678677177
('451.07.01', 2),0.0001662354292566301
('352.06.01', 1),0.0027002918376553492
('452.06.0-1', 0),0.0011325086285223045
('355.03.0-1', 1),0.0051016659840757254
('354.04.01', 3),0.00023417399552808207
('454.04.01', 1),2.652236999758696e-82
('452.06.01', 3),0.00038873854729927845
('253.05.0-1', 3),0.003310505880142578
('453.05.0-1', 3),0.0031772488756905562
('355.03.01', 1),0.0003523415794199694
('453.05.01', 1),7.968598540762403e-07
('354.04.01', 2),0.00027804907440711366
('354.04.01', 0),0.0005355994453586541
('253.05.01', 0),0.0003745321102944719
('256.02.01', 1),0.0008865542124227778
('253.05.01', 3),0.00044067262275486403
('254.04.01', 1),0.004454281683565805
('453.05.01', 3),2.1199999248859148e-08
('35621', 0),0.0017760723541700761
('357.01.01', 0),0.0007729235056727372
('452.06.01', 0),0.00029897495128090434
('454.04.01', 3),1.5647390951649374e-47
('357.01.01', 1),0.0006745481311517946
('356.02.01', 1),0.0002843460653097031
('253.05.0-1', 4),0.004460744814133945
('453.05.0-1', 0),0.004280116351826503
('35711', 0),0.0006135026399738473
('355.03.01', 0),0.0014531273548400354
('356.02.01', 2),0.000530427934498542
('255.03.0-1', 3),0.006681086274304949
('355.03.01', 3),0.0013057193498576035
('256.02.01', 0),0.0010987365115801913
('352.06.01', 3),0.0005198397225537312
('353.05.0-1', 1),0.00574319337818804
('354.04.0-1', 0),0.004102011946744382
('255.03.01', 0),0.024374396963951588
('455.03.0-1', 1),0.0030496266847571214
('354.04.0-1', 2),0.003552555601906388
('453.05.0-1', 2),0.003925317629419609
('452.06.01', 2),0.00032108929223206064
('35531', 0),0.00047898640116492673
('455.03.01', 1),8.213691445073909e-06
('355.03.0-1', 0),0.005603498395464266
('254.04.0-1', 2),0.010031968513246616
('255.03.0-1', 2),0.006396734688625444
('254.04.0-1', 3),0.0042140396672785555
('256.02.0-1', 1),0.09022732272323561
('456.02.01', 1),0.005034867665287421
('353.05.0-1', 2),0.004885447376778581
('354.04.0-1', 3),0.006574488933904832
('352.06.01', 0),0.0005902025707095363
('355.03.0-1', 2),0.0018998907915755141
('454.04.0-1', 0),0.006426052964486884
('254.04.0-1', 1),0.00417195954125458
('255.03.0-1', 0),0.00500940936420585
('255.03.0-1', 1),0.004085567661536611
('456.02.0-1', 3),0.0027871644130006644
('457.01.0-1', 3),0.18027570550409633
('356.02.0-1', 0),0.0039719742317124995
('353.05.0-1', 3),0.0044114397985210736
('451.07.0-1', 4),0.007589047495386209
('352.06.01', 4),0.0008166423119225665
('452.06.0-1', 3),0.0027662495927913296
('452.06.01', 4),0.0004315275728627014
('253.05.01', 2),0.0004265949925932224
('35351', 0),0.0037416265346900367
('355.03.01', 2),0.0005113315083088422
('35351', 4),0.32372232733178036
('3544-1', 0),0.2885376948264204
('452.06.0-1', 2),0.0006265846030651559
('453.05.01', 4),4.134328332508751e-05
('353.05.0-1', 4),0.049000469517319775
('455.03.0-1', 2),0.021774250608383734
('356.02.0-1', 1),0.003320903299711406
('452.06.0-1', 4),0.0010608537836746083
('255.03.0-1', 4),0.011808980019655142
('253.05.01', 4),0.034037158653370925
('355.03.01', 4),0.003041980643047823
('356.02.0-1', 4),0.1285049267340876
('256.02.0-1', 2),0.35830823542924556
