board_hash,value
35441,1.2340941216557428e-06
253.05.01,4.474573284702512e-06
353.05.01,1.6465954832933446e-05
453.05.01,3.3494696285807855e-05
554.04.01,0
45531,6.595389958714414e-05
354.04.01,0.00712500618703933
351.07.01,1.5956333054534887e-05
553.05.01,0
355.03.01,0.08029442956080286
454.04.01,2.1752966586406764e-05
352.06.01,0.00025153558833149864
555.03.01,0
25351,0.0008452548645027006
356.02.01,0.1901412978914696
252.06.01,0.00034793859984113185
455.03.01,0.001261088332960584
457.01.01,0.000732126357558269
153.05.0-1,1
3544-1,0.00041611329819401003
252.06.0-1,5.473621529426204e-05
353.05.0-1,4.190424544049415e-05
454.04.0-1,9.067881872723175e-06
351.07.0-1,2.228507056928786e-06
452.06.0-1,1.5737907985467949e-06
453.05.0-1,7.2480012676967315e-06
352.06.0-1,2.0006209671274464e-05
452.06.01,6.155548010714682e-06
354.04.0-1,0.0006182587455190825
355.03.0-1,0.00019729363165980277
553.05.0-1,0
253.05.0-1,0.9499991330858788
458.00.01,0.004448823664272598
350.08.01,0.0013748113808763466
2544-1,0.9336240893766197
456.02.01,5.2201396935593224e-05
45621,8.545938239550469e-05
455.03.0-1,7.732591100550971e-06
552.06.01,0
556.02.0-1,0
456.02.0-1,0.0021970478351753765
557.01.0-1,0
556.02.01,0
555.03.0-1,0
554.04.0-1,0
254.04.01,0.9489700142820255
357.01.01,0.3664007024018413
457.01.0-1,0.00021373075573066596
357.01.0-1,0.04905492681788867
251.07.0-1,0.0246740447822658
45711,0.0023730916927187243
153.05.01,1
356.02.0-1,0.01953216789037312
255.03.0-1,0.9437714207595499
155.03.0-1,1
254.04.0-1,0.9499707603149329
154.04.0-1,1
557.01.01,0
255.03.01,0.5634243047096112
558.00.01,0
251.07.01,0.20701868227600523
458.00.0-1,0.3817288291894705
350.08.0-1,0.1731092157132907
256.02.0-1,0.878726315
152.06.0-1,1
358.00.01,0.3787238896800069
558.00.0-1,0
358.00.0-1,0.4925
250.08.0-1,0.3637927295388316
154.04.01,1
