board_hash,value
-522758095211981785811,0.10513648476691764
-45064451713283117411-1,4.744267159976692e-05
82218420708616953641-1,1.215032826386061e-05
79295762193999480031-1,2.6036860999189687e-06
-87359689972042769811-1,4.5413457487482894e-07
71416006106044561311-1,6.19275597532113e-08
-59085462685156605281-1,0.29298427652627407
899073691126921878111,0.6075047841660928
731780078909378498211,0.7945643355289794
18204965620469222381-1,0.784023712107375
-79663292932939676531-1,0.8583518527223226
-4014089429242511238-11,0
-5227580952119817858-11,0.00015813515715890812
427000762277979455-11,0.4816234875520585
-7268258932438720697-11,0.5
85936823184421729621-1,0.5
-72462549542185685281-1,0.5
-69211792576330048641-1,0.5
36703390321034070731-1,0.5
583349503182932570911,0.5
-15364376238325451641-1,0.5
60419677831540606091-1,0.5
65500400058996531111-1,0.5
-75701643790472047511-1,0.58
87568653094442793471-1,0.907552
92006199850609625101-1,1
190467691597877809011,0.33763369288826806
-437286400005223240211,0.5
-29021561121594451971-1,0.5
-375806470861303084611,0.5
-3956498167409562394-11,0.5
-6715659492300683901-1,0.5
-28759781574876186121-1,0.5
-42840904483244082531-1,0.5
555688370408537631-1,0.5
186136317038370085-11,0.3
-5391366840215649545-11,0
80812621890831429311,0.7582346351411468
-21502155477313433781-1,0.7646758855339092
582147218073823521811,0.5
-4629779888451274821-1,0.5
-31689023658747639481-1,0.5
386145026434351119411,0.5
7938736420500637556-11,0.5
158558875257526501-1,0.7
-19281637225116089531-1,1
111522262139437281511,0.5479898346312216
-80095954261475563541-1,0.48840092366594207
84069201784729363551-1,0.4037368213847649
-23495027553765384141-1,0.36619495426551674
44060202492401769671-1,0.417468243533443
-32742633041250252271-1,0.5798142421148389
557551446741066783511,0.464223488
-904411840936040559611,0.5
-16418230262659116191-1,0.3590249877504
502948718521713190111,0.5
56204575034470298131-1,0.38
463503981306109976011,0.18
-3008130600458103192-11,0
-561578970977219387711,0.7141486050131636
47894100323917667551-1,0.7699996707104382
-35073881597030319541-1,0.72733838831906
-14725282764176614681-1,0.6899263087964246
48807659483268983451-1,0.7336595691431537
-27748607776115141631-1,0.7806274054517698
-399735024148851127011,0.5
23688662181180001221-1,0.3113317397904558
-5488107190977282711-1,0.9193056806602444
-153529536966108056711,0.46799999999999997
-18252683542627062701-1,0.6712
-910145569582842034711,0.7
56616896697347946031-1,1
1904676915978778090-11,0.2521124042549934
22177310649443975511-1,0.21018289835059045
73651377026624457961-1,0.16966878415331704
-73253737470154299771-1,0.1386003637695374
-37098934460561497411,0.5
4781387288261170991-11,0.5
19554698727243780911-1,0.5
74896645754015132251-1,0.5
8882882816509774188-11,0.5
53021918781603931831-1,0.5
-78155925626185612681-1,0.5
-399874412701622553611,0.5
-31169105616406325321-1,0.7
68723045216641641431-1,1
-630178052060326250011,0.6173314637569219
