board_hash,value
5656237407566153342.06.01,1.6099528779065906e-05
67866346191482781901.07.01,0.16265011712672833
12276402925015041531.07.01,0.06677506063593942
2763719064377304651.07.01,0.08387228834237088
61385081760617377092.06.01,0.35
-70255941184504970832.06.01,0.44975
-37296331457702316511.07.01,0.458774763125
-36908302779400520994.04.01,0.35
10257330033284477452.06.01,0.41457499999999997
45730521064344757632.06.01,0.452879
276371906437730465441,0.48423672959374997
-36908302779400520992.06.01,0.35
276371906437730465351,0.480750807490625
67866346191482781902.06.01,0.3501624342563916
82722536429722228744.04.01,0.35
-22165782455012710132.06.01,0.44975
21932792435297104651.07.01,0.47817875
29281504316775041242.06.01,0.48628094374999997
2763719064377304656.02.01,0.48859006896875
-43508598122697165093.05.01,0.35
-73930370481630757332.06.01,0.44975
12276402925015041532.06.01,0.3865828938819592
5656237407566153343.05.01,0.35
-49128263728533979742.06.0-1,0.9499999999999998
17147504237118092862.06.0-1,0.9024999999999997
18861267936015680972.06.0-1,0.8573749999954228
-90830662052216800772.06.0-1,0.8121547380153419
24053130381942834021.07.0-1,0.7622348909528619
27637190643773046553-1,0.4897840516443594
12276402925015041531.07.0-1,0.7643842863539279
2763719064377304651.07.0-1,0.714883662152856
-43508598122697165093.05.0-1,1.0020138982614494e-12
-73930370481630757332.06.0-1,1.3136402428137069e-11
67866346191482781901.07.0-1,4.9410707177873555e-05
12276402925015041532.06.0-1,0.0007904965065516098
55388531437364203732.06.0-1,0.9499999999999998
35061241083240580503.05.0-1,0.9024999999999809
17147504237118092863.05.0-1,0.8573749997094622
64636879310219808605.03.0-1,0.35
-73930370481630757334.04.0-1,0.44825375
-50950320564941130832.06.0-1,0.4050487932470296
29281504316775041245.03.0-1,0.43834682551446924
2763719064377304656.02.0-1,0.052878462309655566
2763719064377304652.06.0-1,0.7775477679236327
17451646426496156864.04.0-1,6.812432709269003e-17
55062805023022945912.06.0-1,0.0007572781048798485
18861267936015680973.05.0-1,0.012749251258088342
18861267936015680974.04.0-1,0.0067570496169980215
-90830662052216800773.05.0-1,0.7516463464706149
17147504237118092864.04.0-1,0.8423502601043564
-41445460065892409831.07.0-1,0.9499999676250537
-42132490760598427971.07.0-1,0.899099504296627
2763719064377304653.05.0-1,0.7684224531982217
29281504316775041241.07.0-1,0.013190822369292634
-73335289155801716144.04.0-1,0.0016616465284800502
-36908302779400520992.06.0-1,0.060135167169167836
10257330033284477453.05.0-1,0.11334955038940563
45730521064344757632.06.0-1,0.8401602867217424
-37296331457702316511.07.0-1,0.7986937279168747
2763719064377304655.03.0-1,0.7612613424259056
-73482599505699782242.06.0-1,0.9494525152751759
-41414068303962322972.06.0-1,0.8960614546623673
-34855480588988600402.06.0-1,0.937288613795
26855361477361601032.06.0-1,0.8114116774812222
-1093251340414637351.07.0-1,0.8940369728903361
44430575519807662721.07.0-1,0.8519012440888359
17211520026901358141.07.0-1,0.9499999999990422
16346691529240042281.07.0-1,0.9024999996003483
61847751248396637771.07.0-1,0.8305644613338025
25843793581100979771.07.0-1,0.635
