board_hash,value
454.04.01-1,5e-324
353.05.01-1,8.164607168042877e-05
451.07.011,8.237022308983897e-05
452.06.011,0.00037710039027540244
35531-1,0.003664736975026378
453.05.01-1,5e-324
253.05.01-1,0.00015910065819763443
353.05.011,0.00035004250834606257
253.05.0-1-1,0.005789282430974179
352.06.0-11,0.005738444726635663
351.07.0-11,0.020475989036763932
457.01.0-11,0.2900535052897961
357.01.01-1,0.00103843686309987
355.03.01-1,9.415251665973836e-05
254.04.01-1,0.0013403108108682186
454.04.0-1-1,2.3207951422683534e-27
353.05.0-1-1,1.2814726582987973e-06
452.06.0-11,1.919503263839821e-05
352.06.0-1-1,3.186258086824355e-07
451.07.0-11,3.1582477395124043e-07
355.03.0-1-1,2.8388369874402046e-06
454.04.0-11,0.0035898835246985284
354.04.01-1,0.0003289258674038359
352.06.01-1,8.262068854253809e-06
255.03.0-1-1,0.2572144086191603
254.04.0-1-1,2.1823960928977066e-06
453.05.0-11,0.006686399993638096
354.04.0-1-1,2.2258630506489e-06
453.05.011,1.2186482559910347e-05
453.05.0-1-1,5e-324
353511,0.00025988566699963213
356.02.0-1-1,1.4469962838919223e-06
455.03.0-11,0.004414948032860182
353.05.0-11,0.9024999146638921
35621-1,0.001315241878480543
455.03.01-1,1.0296651493451145e-101
256.02.0-1-1,0.018311896378887315
356.02.01-1,6.841729525811423e-06
352.06.011,0.013329216954324322
256.02.01-1,0.015423715721443708
35711-1,5.822339929222737e-05
253.05.0-11,0.9499999999999998
3544-11,0.9024999988563456
255.03.01-1,0.003456021753402346
456.02.0-1-1,6.951960974910272e-14
452.06.01-1,3.5158382394417817e-12
457.01.01-1,3.865496859853724e-06
454.04.011,0.032445967148213795
455.03.0-1-1,4.007667158012371e-15
354.04.011,0.9023081646225889
458.00.01-1,0.0033911153642450006
456.02.01-1,6.951960974910272e-14
354.04.0-11,0.8570277721534623
357.01.0-1-1,2.759345628899267e-05
257.01.0-1-1,0.05848446300898179
455.03.011,0.017234545283009488
358.00.01-1,0.0013862627521768103
456.02.011,0.08383681903118104
253.05.011,0.9499999980568484
456.02.0-11,0.24540248569817086
351.07.011,0.1335402815964461
257.01.01-1,0.27666784798056476
355.03.011,0.8843705804433571
355.03.0-11,0.9006502984067525
254.04.011,0.635
254.04.0-11,0.9478635973205256
457.01.0-1-1,0.006920643600500001
450.08.011,0.0004459614673766149
450.08.0-11,0.12063444306937651
358.00.0-1-1,0.21632423852497318
255.03.0-11,0.7295
252.06.0-11,0.9240583955
356.02.0-11,0.8289627984208999
457.01.011,0.40387047111965896
256.02.0-11,0.635
458.00.0-1-1,0.245
