board_hash,value
-42211331886966885961-1,0.7989116088320001
-40258040022674437571-1,0.53220804583424
-704344208971369983711,0.465105071587328
-58843524715769626601-1,0.3880410590674326
38291091443936553601-1,0.3086689784381902
84191463015150216271-1,0.27256786016303164
42278721594212178731-1,0.25229339886883
83989726611771378151-1,0.2831455105176511
-20898155415873803701-1,0.26927839266962683
13760404483823431491-1,0.24278879239416282
2238299489805426845-11,0.24830187253154354
-4506445171328311741-11,0.04912855190900384
-52275809521198178581-1,0.042131866403543335
28388623726108250881-1,0.7969766912
41862456383646723081-1,0.4984
-73966458430354788761-1,0.459488
-13474722844869157501-1,0.44703616
-979122229179183275-11,0.4430515712
22434446955627693571-1,0.441776502784
36245590672664543731-1,0.44136848089088
429507761772011700411,0.40598066221613055
-4489095036166709541-1,0.2451055471687309
-62471541834004451751-1,0.2777728239547781
-2720483567497739003-11,0.25552697851825723
22382994898054268451-1,0.054101165566708145
-450644517132831174111,0.059664931460929126
2857300328970491307-11,0.6381202733393616
5816091842786773165-11,0.47286400000000006
-5488107190977282711-1,0.5483123200000001
23688662181180001221-1,0.33302376326710087
-356179800758357533011,0.35510004891468494
-27748607776115141631-1,0.29468826028758127
48807659483268983451-1,0.19967436136717756
-14725282764176614681-1,0.15143429295453475
-35073881597030319541-1,0.1185219140666425
47894100323917667551-1,0.09218210707087265
-56157897097721938771-1,0.07286793522171764
2104668415756019621-1,0.08227001924706744
-522758095211981785811,0.045741768165769345
653824261301686174811,0.3
-42567330318248401261-1,0.396
-56956871709291235351-1,0.42672
52879600917075066381-1,0.4365504
616179179906272447511,0.439696128
-31561046724915003301-1,0.44070276096
-79909069965038600661-1,0.44102488350720004
-7450041292445742470-11,0.3100401075445836
-3232546693621362184-11,0.25709314047287846
87485954884240011021-1,0.041876509003970226
-5227580952119817858-11,0.056975787410929506
53792820419414472571-1,0.7352000000000001
-863020990445351747511,0.45929851681866873
-57562613528929364291-1,0.36044536916288267
-20746281078060031291-1,0.27942335960484804
-43359446451063501611-1,0.2338163827408047
-72703628852295784431-1,0.2246916192239645
-88626186588741406381-1,0.2678241615596704
74863146946966741-1,0.28409461750652754
37277639075424045901-1,0.255902845362309
-561578970977219387711,0.19458412862878594
-8604161121926030236-11,0.3
5195507487773049192-11,0.396
-434362844470223584111,0.3980400283648
-90247198223385793911-1,0.2956715989693226
59028123993995954251-1,0.269305020925028
76707056597161219251-1,0.34152391781483743
172600460508311973311,0.25426529857615365
-29987320515063054151-1,0.0763344279045954
-86333306438222295871-1,0.7916019200000001
-15567085995585128141-1,0.50337664
-58515037823963719241-1,0.39976832
-22854804341182977551-1,0.44703616
31661356531757162311,0.362598725632
75888071807516110191-1,0.3265630097604608
787599681118219599311,0.24996992105399463
59494485473987992281-1,0.06335315343865733
90599718781174930111-1,0.04770747438566401
73429237263754891961-1,0.05086419799893257
96254928576356645411,0.3
89766057336395697381-1,0.38065157120000004
-42257408893694070521-1,0.377840502784
-898922062771960574111,0.4365504
-732537374701542997711,0.2893535274690422
73651377026624457961-1,0.09189455797277175
22177310649443975511-1,0.07754266209242845
19046769159787780901-1,0.06366164978598053
-21596285586479954851-1,0.7999999602066945
-90564288447332507951-1,0.5858299122709761
-10752045957241907601-1,0.470242859028472
-73343355562129695901-1,0.34935999353968694
16397343154427255391-1,0.2397846903861856
80895891590115012351-1,0.19716448233423403
-1873560430421660761-11,0.17286887289836053
-8735968997204276981-11,0.0989030638395449
79295762193999480031-1,0.07990234262622384
82218420708616953641-1,0.06453242088269509
-45064451713283117411-1,0.05209508283724457
596074490916391007011,0.3
-24215050316130579131-1,0.436
67387510096509604711,0.42672
85766185985966765971-1,0.42141824
4281617633396902001-1,0.439696128
-85630796492923715471-1,0.405543847936
-273085894050213385311,0.40116533010432004
-835472890013536015011,0.23282537616062707
53368743077622435341-1,0.09815510894032983
42557851957942614641-1,0.07910141193853698
-68146332464776349491-1,0.06310938330145995
39600485437354741361-1,0.050347092509264044
-312349552780342523111,0.3
51461097063806402421-1,0.47286400000000006
26579331333714667121-1,0.40734848
-98939361418211157111,0.3922817536
-1008060466066306341-1,0.32606632728317136
68777865753408669611-1,0.30853945746184996
418107172595190835911,0.26938229894209026
-42442544499083612371-1,0.12277352849498956
13430598208867900891-1,0.09755262481454065
-56091145870866525611-1,0.08074037735214086
26243896002257283871-1,0.06754752213970228
409715340184468595311,0.3
87144301837282789721-1,0.37896848089088003
34139384073676285161-1,0.3773019138850816
-836777336883153137-11,0.32935165664075233
7929576219399948003-11,0.12744836169007667
90078687867467146121-1,0.799764907507712
-2317481695517790768-11,0.5837599487328257
37410093998755016281-1,0.4379433062400001
320565490543752657911,0.41874993766400004
-79869733655691257591-1,0.35216079871157135
-30004515295357889391-1,0.2987439540639891
7189186571933935271-1,0.24960352379061804
-6184560455872235391-1,0.2831899674069074
39823342814777312151-1,0.44119613244322614
-680409729290933346711,0.30950800122200806
822184207086169536411,0.08609167740683589
91840684531398314661-1,0.7916019200000001
-1669143903443212958-11,0.39943960891471797
-21351917655209511461-1,0.4177975180767025
84696470044323814841-1,0.24614261690815797
-78426749045601080371-1,0.21014711927728563
3536976680450407341-1,0.17223976149600476
3036858647076128661-1,0.1381916558790482
792957621939994800311,0.114686092317244
-4445987266380046664-11,0.3
-5342391951466037861-1,0.396
-32188589519705252611-1,0.42672
-42209753404194089521-1,0.4365504
4128723636848917247-11,0.439696128
1384021940593724453-11,0.44070276096
6058195771553078553-11,0.44102488350720004
-22204704195766089481-1,0.40437290563338246
-71421088784864304291-1,0.39409589864536476
38959862384765935391-1,0.39081358959617507
-81998311956326469241-1,0.3897652773202667
19005579823809740821-1,0.3894304659103224
1990774873372763109-11,0.291201316033883
-87966949628161210211-1,0.62
819673401957574369511,0.4984
-637364950197275566511,0.5109568000000001
41047376758873512681-1,0.45730319360000005
9974383893222903761-1,0.399850633216
-37678286913035750511-1,0.39301810429952
560209792750490077211,0.44136848089088
-78772042973484141281-1,0.3238828307284113
-540192941464032591511,0.27952902782372174
-5090512829073757331-1,0.11895154156243987
66684539075228361541-1,0.09436547431981838
-63017805206032625001-1,0.07412091490263163
19907748733727631091-1,0.05882386212052603
-487971495988185284611,0.3
50091352359646049761-1,0.396
-61221356966560184491-1,0.42672
62983844650173984701-1,0.4365504
4839196269331424491-1,0.439696128
